xi, x, y, z
0.000000000000000000e+00, 6.655726551431891810e-15, -2.205921726571547292e-16, 0.000000000000000000e+00
5.000000000000000104e-03, 3.141390899274346810e-02, -3.084979576098145489e-04, 0.000000000000000000e+00
1.000000000000000021e-02, 6.281586733878583018e-02, -1.228640257668270862e-03, 0.000000000000000000e+00
1.499999999999999944e-02, 9.419434867248978327e-02, -2.752237617482013697e-03, 0.000000000000000000e+00
2.000000000000000042e-02, 1.255382872183576359e-01, -4.870901130623635569e-03, 0.000000000000000000e+00
2.500000000000000139e-02, 1.568370745858093107e-01, -7.576062065684699594e-03, 0.000000000000000000e+00
2.999999999999999889e-02, 1.880805558302351688e-01, -1.085899099707521819e-02, 0.000000000000000000e+00
3.500000000000000333e-02, 2.192590248353233351e-01, -1.471081625364978329e-02, 0.000000000000000000e+00
4.000000000000000083e-02, 2.503632190704057070e-01, -1.912254167439169858e-02, 0.000000000000000000e+00
4.499999999999999833e-02, 2.813843137752120582e-01, -2.408506366367857074e-02, 0.000000000000000000e+00
5.000000000000000278e-02, 3.123139156228917357e-01, -2.958918754166679418e-02, 0.000000000000000000e+00
5.500000000000000028e-02, 3.431440559106033183e-01, -3.562564318823578657e-02, 0.000000000000000000e+00
5.999999999999999778e-02, 3.738671833245723608e-01, -4.218509998134301053e-02, 0.000000000000000000e+00
6.500000000000000222e-02, 4.044761563270764526e-01, -4.925818103360864869e-02, 0.000000000000000000e+00
7.000000000000000666e-02, 4.349642352062091932e-01, -5.683547673212423212e-02, 0.000000000000000000e+00
7.499999999999999722e-02, 4.653250738331480840e-01, -6.490755758972019396e-02, 0.000000000000000000e+00
8.000000000000000167e-02, 4.955527111652187622e-01, -7.346498641677216834e-02, 0.000000000000000000e+00
8.500000000000000611e-02, 5.256415625331584129e-01, -8.249832982473288834e-02, 0.000000000000000000e+00
8.999999999999999667e-02, 5.555864107485354308e-01, -9.199816907386874909e-02, 0.000000000000000000e+00
9.500000000000000111e-02, 5.853823970649306707e-01, -1.019551102788918279e-01, 0.000000000000000000e+00
1.000000000000000056e-01, 6.150250120260331022e-01, -1.123597939877334084e-01, 0.000000000000000000e+00
1.049999999999999961e-01, 6.445100862287319599e-01, -1.232029041486765730e-01, 0.000000000000000000e+00
1.100000000000000006e-01, 6.738337810313889120e-01, -1.344751764831523810e-01, 0.000000000000000000e+00
1.150000000000000050e-01, 7.029925792323553635e-01, -1.461674062811684771e-01, 0.000000000000000000e+00
1.199999999999999956e-01, 7.319832757435985604e-01, -1.582704556373597804e-01, 0.000000000000000000e+00
1.250000000000000000e-01, 7.608029682820728334e-01, -1.707752601459970876e-01, 0.000000000000000000e+00
1.300000000000000044e-01, 7.894490480998115345e-01, -1.836728350735716275e-01, 0.000000000000000000e+00
1.350000000000000089e-01, 8.179191907720348986e-01, -1.969542810278361311e-01, 0.000000000000000000e+00
1.400000000000000133e-01, 8.462113470609845534e-01, -2.106107891422803469e-01, 0.000000000000000000e+00
1.449999999999999900e-01, 8.743237338716502993e-01, -2.246336457950722232e-01, 0.000000000000000000e+00
1.499999999999999944e-01, 9.022548253140877383e-01, -2.390142368814699991e-01, 0.000000000000000000e+00
