xi, x, y, z
0.000000000000000000e+00, 6.541361774911122132e-14, -0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.141575808084635935e-02, -8.912945922232845129e-05, 0.000000000000000000e+00
1.000000000000000021e-02, 6.283051432884442788e-02, -3.554678267738667526e-04, 0.000000000000000000e+00
1.499999999999999944e-02, 9.424329128796077315e-02, -7.974360605512005552e-04, 0.000000000000000000e+00
2.000000000000000042e-02, 1.256531379062001963e-01, -1.413450023675405509e-03, 0.000000000000000000e+00
2.500000000000000139e-02, 1.570591293208167816e-01, -2.201920820988467753e-03, 0.000000000000000000e+00
2.999999999999999889e-02, 1.884603666428184554e-01, -3.161255127830200819e-03, 0.000000000000000000e+00
3.500000000000000333e-02, 2.198559767364878792e-01, -4.289855511037451476e-03, 0.000000000000000000e+00
4.000000000000000083e-02, 2.512451119957404000e-01, -5.586120742237614227e-03, 0.000000000000000000e+00
4.499999999999999833e-02, 2.826269501172612997e-01, -7.048446103475908275e-03, 0.000000000000000000e+00
5.000000000000000278e-02, 3.140006938706050299e-01, -8.675223685218851413e-03, 0.000000000000000000e+00
5.500000000000000028e-02, 3.453655708653873835e-01, -1.046484267676448844e-02, 0.000000000000000000e+00
5.999999999999999778e-02, 3.767208333157683331e-01, -1.241568964914523641e-02, 0.000000000000000000e+00
6.500000000000000222e-02, 4.080657578023914045e-01, -1.452614883052231846e-02, 0.000000000000000000e+00
7.000000000000000666e-02, 4.393996450318961022e-01, -1.679460237418921656e-02, 0.000000000000000000e+00
7.499999999999999722e-02, 4.707218195942106664e-01, -1.921943061918117424e-02, 0.000000000000000000e+00
8.000000000000000167e-02, 5.020316297177349618e-01, -2.179901234359627946e-02, 0.000000000000000000e+00
8.500000000000000611e-02, 5.333284470225778673e-01, -2.453172501066863687e-02, 0.000000000000000000e+00
8.999999999999999667e-02, 5.646116662719944390e-01, -2.741594500766458484e-02, 0.000000000000000000e+00
9.500000000000000111e-02, 5.958807051221364226e-01, -3.045004787765132753e-02, 0.000000000000000000e+00
1.000000000000000056e-01, 6.271350038702875329e-01, -3.363240854425440102e-02, 0.000000000000000000e+00
1.049999999999999961e-01, 6.583740252016937466e-01, -3.696140152939801637e-02, 0.000000000000000000e+00
1.100000000000000006e-01, 6.895972539351112873e-01, -4.043540116418712499e-02, 0.000000000000000000e+00
1.150000000000000050e-01, 7.208041967672035311e-01, -4.405278179293023455e-02, 0.000000000000000000e+00
1.199999999999999956e-01, 7.519943820159227243e-01, -4.781191797042234903e-02, 0.000000000000000000e+00
1.250000000000000000e-01, 7.831673593629432384e-01, -5.171118465254320729e-02, 0.000000000000000000e+00
1.300000000000000044e-01, 8.143226995953367631e-01, -5.574895738027452197e-02, 0.000000000000000000e+00
1.350000000000000089e-01, 8.454599943465128664e-01, -5.992361245717262030e-02, 0.000000000000000000e+00
1.400000000000000133e-01, 8.765788558365956717e-01, -6.423352712042081081e-02, 0.000000000000000000e+00
1.449999999999999900e-01, 9.076789166123108155e-01, -6.867707970551384378e-02, 0.000000000000000000e+00
