xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.149343891356773395e-02, -3.596552386777294476e-03, 0.000000000000000000e+00
1.000000000000000021e-02, 6.296033963058478289e-02, -7.324844173405184802e-03, 0.000000000000000000e+00
1.499999999999999944e-02, 9.440070215105116069e-02, -1.118487535988366144e-02, 0.000000000000000000e+00
2.000000000000000042e-02, 1.258145264749669368e-01, -1.517664594621274954e-02, 0.000000000000000000e+00
2.500000000000000139e-02, 1.572018126023320139e-01, -1.930015593239241614e-02, 0.000000000000000000e+00
2.999999999999999889e-02, 1.885625605331463783e-01, -2.355540531842268206e-02, 0.000000000000000000e+00
3.500000000000000333e-02, 2.198967702674101687e-01, -2.794239410430354731e-02, 0.000000000000000000e+00
4.000000000000000083e-02, 2.512044418051232464e-01, -3.246112229003499106e-02, 0.000000000000000000e+00
4.499999999999999833e-02, 2.824855751462856390e-01, -3.711158987561705147e-02, 0.000000000000000000e+00
5.000000000000000278e-02, 3.137401702908975132e-01, -4.189379686104970774e-02, 0.000000000000000000e+00
5.500000000000000028e-02, 3.449682272389584803e-01, -4.680774324633292516e-02, 0.000000000000000000e+00
5.999999999999999778e-02, 3.761697459904689289e-01, -5.185342903146676619e-02, 0.000000000000000000e+00
6.500000000000000222e-02, 4.073447265454287480e-01, -5.703085421645119613e-02, 0.000000000000000000e+00
7.000000000000000666e-02, 4.384931689038377156e-01, -6.234001880128622192e-02, 0.000000000000000000e+00
7.499999999999999722e-02, 4.696150730656960537e-01, -6.778092278597183662e-02, 0.000000000000000000e+00
8.000000000000000167e-02, 5.007104390310038733e-01, -7.335356617050803330e-02, 0.000000000000000000e+00
8.500000000000000611e-02, 5.317792667997609524e-01, -7.905794895489483276e-02, 0.000000000000000000e+00
8.999999999999999667e-02, 5.628215563719674019e-01, -8.489407113913222114e-02, 0.000000000000000000e+00
9.500000000000000111e-02, 5.938373077476231110e-01, -9.086193272322024006e-02, 0.000000000000000000e+00
1.000000000000000056e-01, 6.248265209267281906e-01, -9.696153370715882014e-02, 0.000000000000000000e+00
1.049999999999999961e-01, 6.557891959092827516e-01, -1.031928740909480169e-01, 0.000000000000000000e+00
1.100000000000000006e-01, 6.867253326952866832e-01, -1.095559538745877748e-01, 0.000000000000000000e+00
1.150000000000000050e-01, 7.176349312847396522e-01, -1.160507730580781771e-01, 0.000000000000000000e+00
1.199999999999999956e-01, 7.485179916776419917e-01, -1.226773316414190990e-01, 0.000000000000000000e+00
1.250000000000000000e-01, 7.793745138739938128e-01, -1.294356296246106652e-01, 0.000000000000000000e+00
1.300000000000000044e-01, 8.102044978737950043e-01, -1.363256670076528343e-01, 0.000000000000000000e+00
1.350000000000000089e-01, 8.410079436770455663e-01, -1.433474437905455923e-01, 0.000000000000000000e+00
1.400000000000000133e-01, 8.717848512837451658e-01, -1.505009599732889114e-01, 0.000000000000000000e+00
1.449999999999999900e-01, 9.025352206938942468e-01, -1.577862155558828472e-01, 0.000000000000000000e+00
1.499999999999999944e-01, 9.332590519074925872e-01, -1.652032105383273719e-01, 0.000000000000000000e+00
1.549999999999999989e-01, 9.639563449245405202e-01, -1.727519449206225133e-01, 0.000000000000000000e+00
1.600000000000000033e-01, 9.946270997450377127e-01, -1.804324187027682158e-01, 0.000000000000000000e+00
1.650000000000000078e-01, 1.025271316368984165e+00, -1.882446318847645350e-01, 0.000000000000000000e+00
1.700000000000000122e-01, 1.055888994796379876e+00, -1.961885844666114709e-01, 0.000000000000000000e+00
1.750000000000000167e-01, 1.086480135027225069e+00, -2.042642764483089679e-01, 0.000000000000000000e+00
1.799999999999999933e-01, 1.117044737061519522e+00, -2.124717078298570261e-01, 0.000000000000000000e+00
1.849999999999999978e-01, 1.147582800899263233e+00, -2.208108786112557009e-01, 0.000000000000000000e+00
1.900000000000000022e-01, 1.178094326540456427e+00, -2.292817887925049924e-01, 0.000000000000000000e+00
1.950000000000000067e-01, 1.208579313985099102e+00, -2.378844383736049006e-01, 0.000000000000000000e+00
2.000000000000000111e-01, 1.239037763233190814e+00, -2.466188273545553700e-01, 0.000000000000000000e+00
2.050000000000000155e-01, 1.269469674284732008e+00, -2.554849557353564560e-01, 0.000000000000000000e+00
2.099999999999999922e-01, 1.299875047139722462e+00, -2.644828235160080476e-01, 0.000000000000000000e+00
2.149999999999999967e-01, 1.330253881798162174e+00, -2.736124306965103115e-01, 0.000000000000000000e+00
2.200000000000000011e-01, 1.360606178260051369e+00, -2.828737772768631920e-01, 0.000000000000000000e+00
2.250000000000000056e-01, 1.390931936525389823e+00, -2.922668632570666336e-01, 0.000000000000000000e+00
2.300000000000000100e-01, 1.421231156594177980e+00, -3.017916886371206919e-01, 0.000000000000000000e+00
2.350000000000000144e-01, 1.451503838466414953e+00, -3.114482534170253114e-01, 0.000000000000000000e+00
2.399999999999999911e-01, 1.481749982142101185e+00, -3.212365575967804920e-01, 0.000000000000000000e+00
2.449999999999999956e-01, 1.511969587621237121e+00, -3.311566011763863449e-01, 0.000000000000000000e+00
2.500000000000000000e-01, 1.542162654903822316e+00, -3.412083841558427588e-01, 0.000000000000000000e+00
2.550000000000000044e-01, 1.572244081566327889e+00, -3.513113690472987605e-01, 0.000000000000000000e+00
2.600000000000000089e-01, 1.602305277578976783e+00, -3.614693848965799816e-01, 0.000000000000000000e+00
2.650000000000000133e-01, 1.632346242941769665e+00, -3.716824317036862557e-01, 0.000000000000000000e+00
2.700000000000000178e-01, 1.662366977654705646e+00, -3.819505094686176938e-01, 0.000000000000000000e+00
2.750000000000000222e-01, 1.692367481717785616e+00, -3.922736181913742959e-01, 0.000000000000000000e+00
2.800000000000000266e-01, 1.722347755131008906e+00, -4.026517578719559509e-01, 0.000000000000000000e+00
2.850000000000000311e-01, 1.752307797894375962e+00, -4.130849285103628810e-01, 0.000000000000000000e+00
2.899999999999999800e-01, 1.782247610007885896e+00, -4.235731301065946974e-01, 0.000000000000000000e+00
2.949999999999999845e-01, 1.812167191471540262e+00, -4.341163626606517889e-01, 0.000000000000000000e+00
2.999999999999999889e-01, 1.842066542285337949e+00, -4.447146261725340444e-01, 0.000000000000000000e+00
