position0,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,velocity0,velocity1,velocity2,velocity3,velocity4,velocity5,velocity6,velocity7,velocity8,velocity9,velocity10,velocity11,velocity12,velocity13,velocity14,velocity15,velocity16,velocity17,velocity18,velocity19,velocity20,velocity21,velocity22,velocity23,multiplier0,multiplier1,multiplier2,multiplier3,multiplier4,multiplier5,multiplier6,multiplier7,multiplier8,multiplier9,multiplier10,multiplier11,multiplier12,multiplier13,multiplier14,multiplier15,time,kinetic_energy_current_time_0,kinetic_energy_current_time_1,rotational_kinetic_energy_current_time_0,rotational_kinetic_energy_current_time_1,translational_kinetic_energy_current_time_0,translational_kinetic_energy_current_time_1,potential_energy_current_time_0,potential_energy_current_time_1,total_energy_current_time_0,total_energy_current_time_1,system_total_energy_current_time,total_energy_interval_increment_0,total_energy_interval_increment_1,system_total_energy_interval_increment,angular_momentum_x_current_time_0,angular_momentum_x_current_time_1,angular_momentum_y_current_time_0,angular_momentum_y_current_time_1,angular_momentum_z_current_time_0,angular_momentum_z_current_time_1,total_angular_momentum_x_current_time,total_angular_momentum_x_interval_increment,total_angular_momentum_y_current_time,total_angular_momentum_y_interval_increment,total_angular_momentum_z_current_time,total_angular_momentum_z_interval_increment,body_dimension_x_current_time_0,body_dimension_x_current_time_1,body_dimension_y_current_time_0,body_dimension_y_current_time_1,body_dimension_z_current_time_0,body_dimension_z_current_time_1,constraint_check_current_time_0,constraint_check_current_time_1,constraint_check_current_time_2,constraint_check_current_time_3,constraint_check_current_time_4,constraint_check_current_time_5,constraint_check_current_time_6,constraint_check_current_time_7,constraint_check_current_time_8,constraint_check_current_time_9,constraint_check_current_time_10,constraint_check_current_time_11,max_constraint_error_q,constraint_check_sum_current_time_0,constraint_check_sum_current_time_1,constraint_check_sum_current_time_2,constraint_check_sum_current_time_3,constraint_check_sum_current_time_4,constraint_check_sum_current_time_5,constraint_velocity_current_time_0,constraint_velocity_current_time_1,constraint_velocity_current_time_2,constraint_velocity_current_time_3,constraint_velocity_current_time_4,constraint_velocity_current_time_5,constraint_velocity_current_time_6,constraint_velocity_current_time_7,constraint_velocity_current_time_8,constraint_velocity_current_time_9,constraint_velocity_current_time_10,constraint_velocity_current_time_11,constraint_velocity_current_time_12,constraint_velocity_current_time_13,constraint_velocity_current_time_14,constraint_velocity_current_time_15,max_constraint_error_v
0,0,0,1,0,0,0,1,0,0,0,1,0,0,-11,1,0,0,0,1,0,0,0,1,0,50,0,0,0,1.5,0,0,-1,-1.5,1,0,16.5,39,35.5,0,100,1.5,-100,0,-1,-1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5494,102110.7188,494,97530.46875,5000,4580.25,0,0,5494,102110.7188,107604.7188,-6.586639729,6.586639729,-9.10E-13,-304,1268.25,-456,-572.625,0,1950,964.25,-2.27E-13,-1028.625,1.00E-20,1950,-2.27E-13,4,6,4,6,30,6,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-20
5.62E-06,0.050048987,1.55E-08,0.999998866,7.54E-07,0.001505819,7.51E-07,0.9999995,-0.000999878,-0.001505819,0.000999878,0.999998366,0.016516118,0.039085853,-10.96444923,0.994997175,0.099893275,0.001398407,-0.099891714,0.994997655,-0.001145297,-0.001505819,0.000999878,0.999998366,0.011214888,49.95497599,3.10E-05,-0.002264253,0.001506738,1.507335551,0.001500234,-0.000998329,-0.996899959,-1.507335554,0.996899954,-0.003262583,16.48504682,39.06003202,35.49995873,-9.991356404,99.50114063,1.292818067,-99.49802225,-9.990397186,-1.287322411,-1.507335554,0.996899954,-0.003262583,18.04522647,7.990801059,1952.554822,-24.01636856,-120.4238482,-36.72340668,195042.4434,195020.8613,58.70106458,-59.75361061,-1305.425135,8109.774843,89.59111662,-359.6776591,4550.600508,1651.599591,0.001001431,5487.41336,102117.3054,496.4138568,97530.77048,4990.999503,4586.534909,0,0,5487.41336,102117.3054,107604.7188,-6.267733769,6.267733769,-3.55E-11,-303.0580796,1267.30808,-458.2307535,-570.3942465,0.000703338,1949.999297,964.25,1.00E-20,-1028.625,1.00E-20,1950,1.00E-20,4,6,4,6,30,6,0,-5.55E-17,0,0,0,1.08E-19,0,-5.55E-17,0,1.83E-18,-1.08E-19,0,5.55E-17,0,1.11E-16,0,1.83E-18,1.08E-19,1.08E-19,5.52E-06,-1.55E-06,3.98E-06,-6.68E-07,-6.89E-10,-1.03E-09,-6.87E-05,8.05E-05,3.98E-06,-2.50E-05,0.003567294,-0.002498149,0.000103426,7.29E-05,0.007134588,-0.004996298,0.007134588
2.19E-05,0.1000532,9.13E-08,0.999995442,3.02E-06,0.003019134,3.00E-06,0.999998007,-0.001996693,-0.003019134,0.001996693,0.999993449,0.03301796,0.078231404,-10.92889855,0.980039078,0.198788434,0.002561966,-0.198782017,0.980040393,-0.002557006,-0.003019134,0.001996693,0.999993449,0.021382829,49.91058119,0.000120474,-0.00457367,0.003025358,1.514970186,0.003000078,-0.001984441,-0.993880873,-1.514970218,0.993880825,-0.006558111,16.47148956,39.11922509,35.49983937,-19.8820997,98.00662053,1.030976703,-98.0000402,-19.88139252,-1.532061088,-1.514970218,0.993880825,-0.006558111,0.266755637,-0.073929968,14.47657727,-0.065436403,-10.33113438,26.3576213,-8.280876583,9.356492166,0.435328074,-5.298387423,992.5938564,-51.80574381,-8.362890257,5.026012697,318.182618,-553.8817642,0.002002861,5481.145627,102123.5731,499.0124835,97530.77962,4982.133143,4592.793502,0,0,5481.145627,102123.5731,107604.7187,-6.556555896,6.556555896,2.55E-11,-302.1417423,1266.391742,-460.5539484,-568.0710516,0.003204419,1949.996796,964.25,-2.27E-13,-1028.625,1.00E-20,1950,-2.27E-13,4,6,4,6,30,6,0,0,0,0,0,0,1.11E-16,0,0,-1.78E-17,2.17E-19,-2.17E-19,1.11E-16,1.11E-16,0,0,1.78E-17,2.17E-19,2.17E-19,2.58E-07,4.67E-08,3.04E-07,-9.62E-08,1.50E-09,2.23E-09,-1.07E-05,-4.62E-06,3.04E-07,1.48E-05,-0.000244513,-0.000331951,5.02E-06,-1.53E-06,-0.000489026,-0.000663901,0.000663901
4.92E-05,0.150012625,2.90E-07,0.999989694,6.82E-06,0.004539943,6.76E-06,0.999995529,-0.0029904,-0.004539943,0.0029904,0.999985223,0.049505156,0.117436672,-10.89334803,0.955275918,0.295695789,0.0034527,-0.295681095,0.955277477,-0.004199099,-0.004539943,0.0029904,0.999985223,0.033153616,49.86552816,0.000277306,-0.006905943,0.004552598,1.522302988,0.004496489,-0.002964244,-0.990695185,-1.522303097,0.990695019,-0.009870187,16.45579518,39.17929579,35.49963026,-29.5734692,95.53121123,0.747946438,-95.52126181,-29.57368835,-1.747434368,-1.522303097,0.990695019,-0.009870187,18.14445839,7.967711418,1958.248591,-24.04477894,-123.7196212,-13.23435495,195038.6098,195023.6723,58.8713905,-57.67147185,-752.4487781,8291.135555,102.3971178,-364.9369873,4486.37553,1286.974391,0.003004292,5474.589071,102130.1297,501.4450757,97531.07844,4973.143995,4599.051243,0,0,5474.589071,102130.1297,107604.7188,-6.297733816,6.297733816,-1.73E-11,-301.1756997,1265.4257,-462.7869254,-565.8380746,0.006532106,1949.993468,964.25,1.00E-20,-1028.625,1.00E-20,1950,1.00E-20,4,6,4,6,30,6,0,0,1.11E-16,8.47E-22,-4.34E-19,-2.17E-19,0,0,-5.55E-17,1.37E-17,2.17E-19,0,1.11E-16,0,0,1.67E-16,1.37E-17,6.51E-19,2.17E-19,5.33E-06,-1.63E-06,3.70E-06,-5.20E-07,-2.18E-09,-3.23E-09,-6.36E-05,9.05E-05,3.70E-06,-1.00E-05,0.003282295,-0.002819151,9.79E-05,7.57E-05,0.006564589,-0.005638302,0.006564589
8.78E-05,0.199927112,6.74E-07,0.999981588,1.21E-05,0.006068256,1.20E-05,0.999992076,-0.003980929,-0.006068257,0.003980928,0.999973664,0.065977404,0.156701857,-10.85779775,0.920956081,0.389645473,0.004037553,-0.389619138,0.920956328,-0.006030729,-0.006068257,0.003980928,0.999973664,0.043771457,49.82083357,0.000489419,-0.009283882,0.006091648,1.529957203,0.005991564,-0.003931331,-0.987531302,-1.529957464,0.987530902,-0.013215213,16.44163806,39.23888857,35.49934744,-38.96814699,92.09972797,0.420088539,-92.08642958,-38.97054917,-1.910591225,-1.529957464,0.987530902,-0.013215213,0.528329762,-0.150995507,28.33049838,-0.119559822,-19.92897003,51.5592953,-16.23914588,19.56126915,0.853091451,-5.888499684,1994.069081,-250.6972662,-17.57116978,7.888117427,546.4803026,-1132.34567,0.004005722,5468.291337,102136.4274,504.0565883,97531.09515,4964.234748,4605.33226,0,0,5468.291337,102136.4274,107604.7187,-6.520108981,6.520108981,7.28E-12,-300.217224,1264.467224,-465.1191987,-563.5058013,0.012303554,1949.987696,964.25,-2.27E-13,-1028.625,1.00E-20,1950,4.55E-13,4,6,4,6,30,6,-5.55E-17,0,-5.55E-17,-1.69E-21,0,0,0,0,1.11E-16,2.80E-17,4.34E-19,-4.34E-19,1.11E-16,5.55E-17,0,1.67E-16,2.80E-17,4.34E-19,4.34E-19,5.35E-07,6.41E-08,5.99E-07,-1.75E-07,2.97E-09,4.38E-09,-1.38E-05,-1.63E-05,5.99E-07,3.01E-05,-0.000550721,-0.000611276,1.04E-05,-2.02E-06,-0.001101441,-0.001222552,0.001222552
0.000137758,0.249796655,1.31E-06,0.999971088,1.90E-05,0.007604075,1.88E-05,0.999987658,-0.004968235,-0.007604075,0.004968234,0.999958746,0.082434349,0.196026968,-10.82224781,0.877423634,0.479697166,0.004288924,-0.479656068,0.877420051,-0.008006899,-0.007604075,0.004968234,0.999958746,0.056076337,49.7757673,0.000775199,-0.011685046,0.007638812,1.537291265,0.007483047,-0.004891912,-0.984260846,-1.537291776,0.984260061,-0.016576957,16.42523155,39.29897694,35.4989664,-47.97236839,87.74636758,0.081935137,-87.73018292,-47.97761529,-2.036103823,-1.537291776,0.984260061,-0.016576957,18.25371641,7.944459283,1964.681298,-24.07627925,-128.9987349,11.34717405,195034.6975,195025.4217,59.06279061,-50.8414961,-202.9199525,8323.332772,115.8774453,-367.90847,4330.604065,909.2585932,0.005007153,5461.771228,102142.9475,506.5109174,97531.38587,4955.26031,4611.561653,0,0,5461.771228,102142.9475,107604.7187,-6.330477838,6.330477838,-7.19E-11,-299.2272377,1263.477238,-467.3557405,-561.2692595,0.01799176,1949.982008,964.25,4.55E-13,-1028.625,1.00E-20,1950,-1.14E-12,4,6,4,6,30,6,1.11E-16,-5.55E-17,0,0,0,0,0,0,0,-1.87E-17,4.34E-19,0,1.11E-16,1.11E-16,5.55E-17,0,1.87E-17,4.34E-19,0,5.11E-06,-1.67E-06,3.44E-06,-3.91E-07,-3.63E-09,-5.33E-09,-5.46E-05,9.58E-05,3.44E-06,4.58E-06,0.002940643,-0.003081689,9.21E-05,7.74E-05,0.005881285,-0.006163377,0.006163377
0.000199473,0.299621103,2.25E-06,0.999958161,2.75E-05,0.009147404,2.70E-05,0.999982285,-0.005952246,-0.009147405,0.005952244,0.999940446,0.098875667,0.235412206,-10.78669828,0.825114873,0.564949494,0.004185192,-0.564890938,0.825104018,-0.010079107,-0.009147405,0.005952244,0.999940446,0.067177928,49.73077323,0.001113879,-0.014132368,0.009197802,1.54495723,0.008971921,-0.005839147,-0.980949336,-1.544958117,0.980947966,-0.019971515,16.41042943,39.35896903,35.49851483,-56.49570095,82.51471043,-0.289103738,-82.49602767,-56.50497659,-2.102390267,-1.544958117,0.980947966,-0.019971515,0.784207384,-0.230211594,41.59643663,-0.163455902,-28.52740753,76.19886432,-23.11692959,29.79311816,1.254276924,-1.930187586,2976.363574,-596.6690688,-27.18022842,8.462672228,681.4046167,-1717.700647,0.006008584,5455.44075,102149.278,509.1321099,97531.41521,4946.30864,4617.862788,0,0,5455.44075,102149.278,107604.7188,-6.478520045,6.478520045,-1.73E-11,-298.2256735,1262.475674,-469.6948342,-558.9301658,0.026923456,1949.973077,964.25,-2.27E-13,-1028.625,1.00E-20,1950,2.27E-13,4,6,4,6,30,6,1.11E-16,0,-5.55E-17,3.39E-21,0,0,0,0,-5.55E-17,-2.49E-17,-8.67E-19,0,1.11E-16,1.11E-16,0,1.11E-16,2.49E-17,8.67E-19,0,8.23E-07,5.09E-08,8.74E-07,-2.31E-07,4.39E-09,6.43E-09,-9.17E-06,-3.46E-05,8.74E-07,4.31E-05,-0.000907616,-0.000826829,1.60E-05,-1.41E-06,-0.001815232,-0.001653658,0.001815232
0.000273164,0.349400455,3.58E-06,0.999942771,3.74E-05,0.010698246,3.67E-05,0.999975966,-0.006932919,-0.010698249,0.006932915,0.999918738,0.115301017,0.274857572,-10.75114926,0.764553931,0.644549078,0.003711086,-0.644470972,0.764531504,-0.012196133,-0.010698249,0.006932915,0.999918738,0.079993809,49.68570411,0.001531439,-0.016603312,0.010764309,1.552296857,0.010457332,-0.006779812,-0.977593844,-1.552298265,0.977591656,-0.023383123,16.39334159,39.41906119,35.49795808,-64.4531516,76.45703112,-0.657753836,-76.43666992,-64.46698705,-2.125614456,-1.552298265,0.977591656,-0.023383123,18.37333253,7.920066928,1971.805104,-24.10935822,-136.4509249,36.37542092,195031.743,195025.157,59.27390236,-39.88856435,314.617074,8209.093754,129.5773474,-368.5114162,4081.809638,536.4283232,0.007010014,5448.96223,102155.7565,511.6110422,97531.69293,4937.351188,4624.063592,0,0,5448.96223,102155.7565,107604.7187,-6.36461405,6.364614049,-2.46E-10,-297.2115666,1261.461567,-471.9363736,-556.6886264,0.034747756,1949.965252,964.25,1.14E-13,-1028.625,1.00E-20,1950,-2.50E-12,4,6,4,6,30,6,0,0,0,-6.78E-21,0,0,0,-5.55E-17,0,2.24E-19,-2.17E-19,8.67E-19,5.55E-17,0,5.55E-17,0,2.30E-19,2.17E-19,8.67E-19,4.90E-06,-1.69E-06,3.21E-06,-2.84E-07,-5.02E-09,-7.30E-09,-4.25E-05,9.67E-05,3.21E-06,1.72E-05,0.002554406,-0.003275689,8.61E-05,7.80E-05,0.005108811,-0.006551378,0.006551378
0.000359091,0.399134564,5.35E-06,0.999924884,4.90E-05,0.012256604,4.79E-05,0.999968713,-0.007910178,-0.012256608,0.007910172,0.999893597,0.131710054,0.314363261,-10.71560083,0.696347539,0.717699057,0.00285804,-0.717600084,0.696308475,-0.014304785,-0.012256608,0.007910172,0.999893597,0.091613583,49.64041667,0.002000951,-0.01912082,0.012342692,1.559966478,0.01193854,-0.007706373,-0.974133103,-1.559968589,0.974129806,-0.026827193,16.37784856,39.47944444,35.49733207,-71.76475724,69.6339266,-1.045899592,-69.61261342,-71.78414737,-2.085663202,-1.559968589,0.974129806,-0.026827193,1.034164308,-0.310564295,54.33302473,-0.198496186,-36.04786477,100.914211,-28.26582937,39.30007596,1.640551637,5.832672732,3911.777628,-1084.360749,-36.73049493,6.715478578,722.9449062,-2291.812258,0.008011445,5442.597616,102162.1211,514.2388874,97531.73957,4928.358728,4630.381561,0,0,5442.597616,102162.1211,107604.7187,-6.43313804,6.43313804,-1.36E-11,-296.1663295,1260.41633,-474.2799505,-554.3450495,0.046681232,1949.953319,964.25,1.00E-20,-1028.625,1.00E-20,1950,1.00E-20,4,6,4,6,30,6,1.11E-16,0,0,0,-8.67E-19,0,-5.55E-17,1.11E-16,0,-4.10E-17,-2.17E-19,8.67E-19,1.11E-16,1.67E-16,1.11E-16,0,4.10E-17,1.08E-18,8.67E-19,1.11E-06,6.63E-09,1.12E-06,-2.61E-07,5.75E-09,8.33E-09,2.16E-06,-5.80E-05,1.12E-06,5.13E-05,-0.001302202,-0.000969741,2.16E-05,3.24E-07,-0.002604405,-0.001939482,0.002604405
0.000457497,0.448823431,7.63E-06,0.999904463,6.22E-05,0.013822482,6.06E-05,0.999960535,-0.008883981,-0.013822489,0.008883971,0.999864998,0.148102451,0.353929273,-10.68005309,0.621178913,0.783667097,0.001624382,-0.78354687,0.621117505,-0.016350765,-0.013822489,0.008883971,0.999864998,0.104917193,49.59534961,0.002552922,-0.021662455,0.013927958,1.567316032,0.013416684,-0.008626425,-0.970691105,-1.567319038,0.970686386,-0.03028888,16.36011041,39.53953385,35.4965961,-78.3577272,62.11367369,-1.417891711,-62.0925384,-78.38296066,-2.000452142,-1.567319038,0.970686386,-0.03028888,18.50333378,7.893551072,1979.548891,-24.14224323,-146.0745262,61.1848523,195030.6291,195022.1177,59.50270194,-26.16005527,772.513384,7956.567973,143.0359523,-366.7555336,3742.017598,186.5076163,0.009012876,5436.164478,102168.5543,516.7450432,97531.99985,4919.419435,4636.554427,0,0,5436.164478,102168.5543,107604.7188,-6.398688102,6.398688102,5.82E-11,-295.1275558,1259.377556,-476.5279399,-552.0970601,0.056461209,1949.943539,964.25,1.14E-13,-1028.625,1.00E-20,1950,4.55E-13,4,6,4,6,30,6,0,0,0,0,0,0,0,0,0,8.73E-18,-1.19E-18,0,8.73E-18,0,0,0,8.73E-18,1.19E-18,0,4.68E-06,-1.67E-06,3.01E-06,-2.03E-07,-6.33E-09,-9.11E-09,-2.86E-05,9.40E-05,3.01E-06,2.66E-05,0.002137419,-0.00339355,8.03E-05,7.75E-05,0.004274837,-0.006787099,0.006787099
