position0;position1;position2;position3;position4;position5;position6;position7;position8;position9;position10;position11;position12;position13;position14;position15;position16;position17;position18;position19;position20;position21;position22;position23;velocity0;velocity1;velocity2;velocity3;velocity4;velocity5;velocity6;velocity7;velocity8;velocity9;velocity10;velocity11;velocity12;velocity13;velocity14;velocity15;velocity16;velocity17;velocity18;velocity19;velocity20;velocity21;velocity22;velocity23;multiplier0;multiplier1;multiplier2;multiplier3;multiplier4;multiplier5;multiplier6;multiplier7;multiplier8;multiplier9;multiplier10;multiplier11;multiplier12;multiplier13;multiplier14;multiplier15;multiplier16;multiplier17;multiplier18;multiplier19;multiplier20;multiplier21;multiplier22;multiplier23;multiplier24;multiplier25;multiplier26;multiplier27;multiplier28;multiplier29;multiplier30;multiplier31;time;kinetic_energy_current_time_0;kinetic_energy_current_time_1;rotational_kinetic_energy_current_time_0;rotational_kinetic_energy_current_time_1;translational_kinetic_energy_current_time_0;translational_kinetic_energy_current_time_1;potential_energy_current_time_0;potential_energy_current_time_1;total_energy_current_time_0;total_energy_current_time_1;total_energy_interval_increment_0;total_energy_interval_increment_1;angular_momentum_x_current_time_0;angular_momentum_x_current_time_1;angular_momentum_y_current_time_0;angular_momentum_y_current_time_1;angular_momentum_z_current_time_0;angular_momentum_z_current_time_1;total_angular_momentum_x_current_time;total_angular_momentum_x_interval_increment;total_angular_momentum_y_current_time;total_angular_momentum_y_interval_increment;total_angular_momentum_z_current_time;total_angular_momentum_z_interval_increment;body_dimension_x_current_time_0;body_dimension_x_current_time_1;body_dimension_y_current_time_0;body_dimension_y_current_time_1;body_dimension_z_current_time_0;body_dimension_z_current_time_1;constraint_check_current_time_0;constraint_check_current_time_1;constraint_check_current_time_2;constraint_check_current_time_3;constraint_check_current_time_4;constraint_check_current_time_5;constraint_check_current_time_6;constraint_check_current_time_7;constraint_check_current_time_8;constraint_check_current_time_9;constraint_check_current_time_10;constraint_check_current_time_11;constraint_check_sum_current_time_0;constraint_check_sum_current_time_1;constraint_check_sum_current_time_2;constraint_check_sum_current_time_3;constraint_check_sum_current_time_4;constraint_check_sum_current_time_5;max_constraint_error_q;constraint_velocity_current_time_0;constraint_velocity_current_time_1;constraint_velocity_current_time_2;constraint_velocity_current_time_3;constraint_velocity_current_time_4;constraint_velocity_current_time_5;constraint_velocity_current_time_6;constraint_velocity_current_time_7;constraint_velocity_current_time_8;constraint_velocity_current_time_9;constraint_velocity_current_time_10;constraint_velocity_current_time_11;constraint_velocity_current_time_12;constraint_velocity_current_time_13;constraint_velocity_current_time_14;constraint_velocity_current_time_15;;max_constraint_error_v
0;0;0;1;0;0;0;1;0;0;0;1;0;0;-11;1;0;0;0;1;0;0;0;1;0;50;0;0;0;1.5;0;0;-1;-1.5;1;0;16.5;39;35.5;0;100;1.5;-100;0;-1;-1.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5494;102110.7188;494;97530.46875;5000;4580.25;0;0;5494;102110.7188;-6.420251614;6.420251681;-304;1268.25;-456;-572.625;0;1950;964.25;-6.70E-08;-1028.625;-1.11E-11;1950;6.12E-05;4;6;4;6;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.61E-06;0.050048971;1.52E-08;0.999998866;7.58E-07;0.001505821;7.47E-07;0.9999995;-0.000999875;-0.001505821;0.000999875;0.999998366;0.016516131;0.039085874;-10.96444923;0.994997175;0.099893275;0.001398409;-0.099891713;0.994997655;-0.001145294;-0.001505821;0.000999875;0.999998366;0.010583782;49.95536402;2.96E-05;-0.002269998;0.001515192;1.507479277;0.001493372;-0.000996853;-0.996975889;-1.507479293;0.996975864;-0.003266851;16.48588829;39.05951464;35.49996051;-9.991280015;99.50116559;1.285819309;-99.49799687;-9.990469914;-1.282416133;-1.507479293;0.996975864;-0.003266851;18.08935879;7.894554469;1954.937232;-23.90475425;-122.3676558;-35.73957355;195041.1056;195022.4294;58.77263432;-60.72845743;-1197.011793;8027.600567;84.5494736;-356.5778259;4632.675999;1597.15296;2.25E-05;-6.06E-06;0.001236725;-5.81E-06;-0.001028957;0.000600737;-0.000707241;0.000747334;3.71E-05;-0.000489487;0.05436463;-0.041188758;-0.00244433;0.001676584;0.041103778;-0.027181187;0.001001431;5487.579748;102117.139;496.5027354;97530.62291;4991.077013;4586.51609;0;0;5487.579748;102117.139;-6.419958546;6.419958748;-303.0811577;1267.331158;-458.2744518;-570.3505482;0.00089564;1949.999166;964.2499999;-2.02E-07;-1028.625;-2.75E-11;1950.000061;6.14E-05;4;6;4;6;30;6;0;0;0;1.06E-22;0;0;0;-5.55E-17;0;0;1.08E-19;0;0;5.55E-17;0;1.06E-22;1.08E-19;0;5.55E-17;4.34E-19;2.17E-19;0;-2.17E-19;0;-7.85E-18;0;-9.18E-16;0;-5.24E-15;-1.11E-16;-1.39E-17;-3.55E-15;0;-2.22E-16;0;4.34E-19;4.34E-19
2.19E-05;0.100053201;9.13E-08;0.999995442;3.04E-06;0.003019134;2.99E-06;0.999998007;-0.001996693;-0.003019134;0.001996693;0.999993449;0.033017964;0.078231401;-10.92889855;0.980039078;0.198788435;0.002561967;-0.198782017;0.980040393;-0.002557006;-0.003019134;0.001996693;0.999993449;0.021414212;49.91064551;0.000120447;-0.00457391;0.003040761;1.514963898;0.002984899;-0.001984516;-0.993894821;-1.514963978;0.993894699;-0.006558426;16.47144772;39.11913932;35.4998394;-19.88208782;98.00660914;1.031456868;-98.00005753;-19.8813897;-1.531409656;-1.514963978;0.993894699;-0.006558426;0.180620104;-0.048296203;9.895276436;-0.045535605;-6.380177736;24.54008656;-5.811600666;6.132405421;0.29741103;-2.772675178;767.7943799;102.1139925;1.971097342;-0.65979382;148.6688817;-452.4604517;1.43E-07;-8.85E-08;4.12E-06;2.33E-07;0.000166875;-0.000119344;-3.71E-05;3.73E-05;1.23E-07;0.00028674;-0.00413106;-0.005138786;-1.01E-05;-5.50E-06;-0.002699457;-0.003911034;0.002002861;5481.15979;102123.559;499.0138022;97530.77759;4982.145988;4592.781373;0;0;5481.15979;102123.559;-6.419294631;6.419294969;-302.1459605;1266.39596;-460.5520515;-568.0729485;0.003297248;1949.996825;964.2499997;-3.37E-07;-1028.625;-6.12E-11;1950.000123;6.16E-05;4;6;4;6;30;6;0;0;0;4.24E-22;0;0;0;0;0;0;0;-2.17E-19;0;0;0;4.24E-22;0;2.17E-19;2.17E-19;8.67E-19;0;8.67E-19;0;0;8.22E-19;0;-2.44E-15;8.67E-19;5.06E-15;-1.11E-16;2.78E-17;0;-1.78E-15;0;0;5.06E-15;5.06E-15
4.92E-05;0.15001261;2.90E-07;0.999989694;6.85E-06;0.004539945;6.72E-06;0.999995529;-0.002990397;-0.004539945;0.002990397;0.999985223;0.049505169;0.117436692;-10.89334803;0.955275918;0.295695789;0.003452703;-0.295681095;0.955277477;-0.004199097;-0.004539945;0.002990397;0.999985223;0.032492719;49.8658461;0.000273354;-0.006911957;0.004576582;1.522453419;0.004474272;-0.002962799;-0.990756478;-1.522453635;0.990756148;-0.009874756;16.45667638;39.17887187;35.49963553;-29.57338224;95.53122054;0.741508118;-95.52125077;-29.57375537;-1.741898956;-1.522453635;0.990756148;-0.009874756;18.27112465;7.845555379;1964.865332;-23.94841454;-129.0183285;-11.13891059;195035.1092;195028.7477;59.07102994;-61.16374395;-420.7258903;8056.211499;86.53271677;-357.2251016;4737.149057;1130.96094;2.26E-05;-6.15E-06;0.001240827;-5.58E-06;-0.000860863;0.000482262;-0.000716249;0.000756475;3.72E-05;-0.000192369;0.04974823;-0.045912959;-0.002454381;0.001670995;0.038032799;-0.030824223;0.003004292;5474.740495;102129.9783;501.5331697;97530.93277;4973.207326;4599.045482;0;0;5474.740495;102129.9783;-6.418256066;6.418256539;-301.1942899;1265.444289;-462.8326941;-565.7923059;0.007161262;1949.993023;964.2499994;-4.72E-07;-1028.625;-1.11E-10;1950.000184;6.18E-05;4;6;4;6;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.67E-19;0;0;0;0;-1.75E-17;0;-1.49E-15;0;-7.70E-16;0;2.78E-17;-3.55E-15;-1.78E-15;-2.22E-16;2.22E-16;2.22E-16;2.22E-16
8.78E-05;0.199927115;6.74E-07;0.999981588;1.22E-05;0.006068257;1.19E-05;0.999992076;-0.00398093;-0.006068258;0.003980929;0.999973664;0.065977412;0.156701853;-10.85779775;0.920956081;0.389645474;0.004037554;-0.389619139;0.920956327;-0.00603073;-0.006068258;0.003980929;0.999973664;0.043820718;49.82096743;0.000489197;-0.00928436;0.006122524;1.529947389;0.005961178;-0.003931512;-0.987560543;-1.529947839;0.987559853;-0.013215872;16.44157238;39.23871009;35.49934774;-38.96812929;92.09970989;0.42116993;-92.08647086;-38.97054124;-1.909391941;-1.529947839;0.987559853;-0.013215872;0.363527224;-0.097995315;19.85607734;-0.08728645;-13.30340642;49.19845143;-11.76528867;12.40902258;0.596787523;-0.83135755;1545.52895;56.5402855;3.966433988;-1.29437474;207.6888681;-928.0666881;2.85E-07;-1.76E-07;8.20E-06;4.75E-07;0.00033618;-0.000236932;-1.74E-05;1.77E-05;2.45E-07;0.000583264;-0.009191174;-0.009402607;-2.01E-05;-1.12E-05;-0.006115364;-0.00725084;0.004005722;5468.322239;102136.3965;504.0608063;97531.08847;4964.261433;4605.308042;0;0;5468.322239;102136.3965;-6.416839052;6.416839662;-300.2260275;1264.476026;-465.1162732;-563.5087268;0.012443708;1949.987802;964.2499989;-6.09E-07;-1028.625;-1.77E-10;1950.000246;6.20E-05;4;6;4;6;30;6;0;-5.55E-17;0;-2.54E-21;0;-4.34E-19;0;0;0;0;-4.34E-19;4.34E-19;0;5.55E-17;0;2.54E-21;4.34E-19;8.67E-19;5.55E-17;0;8.67E-19;1.73E-18;-4.34E-19;0;-3.82E-17;0;-5.26E-15;1.73E-18;7.59E-17;-1.11E-16;-1.11E-16;-3.55E-15;1.78E-15;-2.22E-16;-2.22E-16;1.78E-15;1.78E-15
0.000137748;0.24979664;1.31E-06;0.999971088;1.91E-05;0.007604076;1.87E-05;0.999987658;-0.004968233;-0.007604077;0.004968231;0.999958746;0.082434361;0.196026988;-10.82224781;0.877423634;0.479697166;0.004288928;-0.479656068;0.877420051;-0.008006898;-0.007604077;0.004968231;0.999958746;0.055399619;49.77601119;0.000768841;-0.011691336;0.007678455;1.537445355;0.007445296;-0.004890464;-0.984306701;-1.53744616;0.984305462;-0.0165818;16.42613384;39.29865174;35.49897488;-47.97227454;87.74636125;0.076168243;-87.73018713;-47.9776716;-2.030054206;-1.53744616;0.984305462;-0.0165818;18.45516827;7.795159338;1974.858708;-23.98822163;-136.2161524;13.57423779;195029.4264;195034.7544;59.37138349;-56.89479061;351.3626112;7936.446968;88.54009242;-357.8468105;4749.88049;650.3717955;2.28E-05;-6.23E-06;0.001244897;-5.33E-06;-0.000690356;0.000365578;-0.00066826;0.000708618;3.73E-05;9.25E-05;0.044290346;-0.049674786;-0.002464378;0.001665225;0.034301892;-0.033828207;0.005007153;5461.9054;102142.8134;506.5966798;97531.24467;4955.30872;4611.568679;0;0;5461.9054;102142.8134;-6.415039796;6.415040543;-299.2410549;1263.491053;-467.4026811;-561.2223189;0.019100211;1949.981208;964.2499983;-7.45E-07;-1028.625;-2.58E-10;1950.000308;6.22E-05;4;6;4;6;30;6;0;0;0;-1.69E-21;0;0;0;0;0;0;0;0;0;0;0;1.69E-21;0;0;1.69E-21;1.73E-18;8.67E-19;3.47E-18;4.34E-19;0;2.53E-17;0;-1.75E-15;0;5.85E-15;-5.55E-17;-2.78E-17;0;1.78E-15;-1.11E-16;-4.44E-16;5.85E-15;5.85E-15
0.000199463;0.299621107;2.25E-06;0.999958161;2.76E-05;0.009147405;2.69E-05;0.999982285;-0.005952248;-0.009147407;0.005952245;0.999940446;0.09887568;0.235412201;-10.78669828;0.825114872;0.564949496;0.004185193;-0.564890939;0.825104017;-0.010079109;-0.009147407;0.005952245;0.999940446;0.067230821;49.73097908;0.001113155;-0.014133101;0.009244236;1.544946855;0.008926304;-0.005839467;-0.980994642;-1.544948161;0.98099262;-0.019972567;16.41035891;39.35869456;35.49851579;-56.49568551;82.51469052;-0.287321773;-82.49609752;-56.50496297;-2.100768587;-1.544948161;0.98099262;-0.019972567;0.548702299;-0.149084963;29.8818997;-0.125115299;-20.77784208;73.96342104;-16.95680552;17.92557668;0.898114234;5.629071967;2304.889588;-136.7422494;5.985792022;-1.903033912;173.7282363;-1409.134677;4.26E-07;-2.63E-07;1.23E-05;7.25E-07;0.000507882;-0.000352694;5.73E-05;-5.69E-05;3.66E-07;0.000845764;-0.014996991;-0.012625413;-3.01E-05;-1.70E-05;-0.010128268;-0.009889361;0.006008584;5455.49036;102149.2284;509.1407573;97531.40138;4946.349603;4617.827011;0;0;5455.49036;102149.2284;-6.412854513;6.412855398;-298.239254;1262.489252;-469.6918086;-558.9331914;0.027085997;1949.973284;964.2499976;-8.83E-07;-1028.625;-3.53E-10;1950.00037;6.24E-05;4;6;4;6;30;6;0;0;1.11E-16;-3.39E-21;8.67E-19;-4.34E-19;0;0;1.11E-16;0;4.34E-19;-8.67E-19;0;0;2.22E-16;3.39E-21;1.30E-18;1.30E-18;2.22E-16;0;8.67E-19;3.47E-18;-8.67E-19;0;-4.32E-17;1.42E-14;-1.04E-15;-3.47E-18;4.67E-15;-5.55E-17;-1.11E-16;0;3.55E-15;0;-4.44E-16;1.42E-14;1.42E-14
0.000273155;0.349400441;3.58E-06;0.999942771;3.76E-05;0.010698247;3.65E-05;0.999975966;-0.006932918;-0.010698251;0.006932912;0.999918738;0.115301029;0.27485759;-10.75114926;0.764553931;0.644549078;0.003711089;-0.644470972;0.764531504;-0.012196132;-0.010698251;0.006932912;0.999918738;0.079315712;49.68587281;0.001523014;-0.016609866;0.010819726;1.552451422;0.010403873;-0.00677833;-0.977624057;-1.552453402;0.977620977;-0.023388196;16.39424572;39.41883625;35.49796931;-64.45305457;76.45701074;-0.662762042;-76.43668966;-64.46702761;-2.119185292;-1.552453402;0.977620977;-0.023388196;18.64146949;7.743379636;1984.916845;-24.02403758;-143.9691931;38.38802249;195024.9303;195039.5767;59.67367936;-48.46198288;1090.99156;7670.995638;90.57137404;-358.4422421;4669.262435;173.3596756;2.29E-05;-6.32E-06;0.001248935;-5.08E-06;-0.000517469;0.000250757;-0.00056928;0.000609769;3.74E-05;0.000322641;0.038189872;-0.052326496;-0.002474316;0.001659273;0.030042777;-0.036074867;0.007010014;5449.077506;102155.6412;511.6930048;97531.55859;4937.384501;4624.082654;0;0;5449.077506;102155.6412;-6.410279422;6.410280445;-297.2205066;1261.470503;-471.9835449;-556.6414551;0.036355902;1949.964077;964.2499967;-1.02E-06;-1028.625;-4.62E-10;1950.000432;6.26E-05;4;6;4;6;30;6;0;0;0;3.39E-21;0;0;0;0;0;0;-4.34E-19;8.67E-19;0;0;0;3.39E-21;4.34E-19;8.67E-19;8.67E-19;0;-8.67E-19;-3.47E-18;8.67E-19;0;6.55E-17;0;-1.52E-15;0;-2.15E-15;0;-1.11E-16;0;5.33E-15;-1.11E-16;0;5.33E-15;5.33E-15
0.000359078;0.399134569;5.35E-06;0.999924884;4.93E-05;0.012256605;4.77E-05;0.999968713;-0.007910182;-0.012256611;0.007910173;0.999893597;0.131710071;0.314363255;-10.71560083;0.696347537;0.717699059;0.002858042;-0.717600086;0.696308473;-0.014304787;-0.012256611;0.007910173;0.999893597;0.091655672;49.64069414;0.001999296;-0.019121843;0.012404779;1.559958584;0.011877668;-0.007706865;-0.974194641;-1.559961436;0.974190183;-0.026828708;16.37779244;39.47907448;35.49733427;-71.76475348;69.63390936;-1.04334332;-69.61271389;-71.78412899;-2.083761948;-1.559961436;0.974190183;-0.026828708;0.736124088;-0.201550929;39.97221603;-0.158883537;-28.81145704;98.82297091;-20.57732264;21.87322206;1.201375182;15.739605;3017.92563;-472.3456235;8.028936248;-2.485059677;46.92763245;-1877.568174;5.66E-07;-3.49E-07;1.63E-05;9.84E-07;0.000681944;-0.000466557;0.0001771;-0.000176572;4.86E-07;0.001034655;-0.0213359;-0.014679221;-4.00E-05;-2.31E-05;-0.014595347;-0.011721264;0.008011445;5442.667226;102162.0515;514.2533879;97531.71631;4928.413838;4630.335221;0;0;5442.667226;102162.0515;-6.407310752;6.407311914;-296.1846946;1260.43469;-474.2777779;-554.3472221;0.046864376;1949.953631;964.2499957;-1.16E-06;-1028.625;-5.84E-10;1950.000495;6.28E-05;4;6;4;6;30;6;0;0;0;0;0;0;0;0;0;2.78E-17;0;1.73E-18;0;0;0;2.78E-17;0;1.73E-18;2.78E-17;0;0;0;8.67E-19;0;1.52E-17;7.11E-15;-7.63E-15;0;-3.04E-15;-2.78E-17;2.78E-17;0;-1.78E-15;5.55E-17;-4.44E-16;7.11E-15;7.11E-15
0.000457488;0.448823419;7.63E-06;0.999904463;6.25E-05;0.013822481;6.03E-05;0.999960535;-0.008883983;-0.013822491;0.008883968;0.999864998;0.148102463;0.35392929;-10.68005309;0.621178913;0.783667097;0.001624386;-0.78354687;0.621117505;-0.016350765;-0.013822491;0.008883968;0.999864998;0.104252068;49.59544482;0.002542882;-0.02166924;0.013999247;1.567467865;0.013347351;-0.008624882;-0.970706091;-1.567471812;0.970699889;-0.030294121;16.36099724;39.5394069;35.49660949;-78.35763076;62.11364245;-1.422081158;-62.0925734;-78.3829809;-1.993792965;-1.567471812;0.970699889;-0.030294121;18.83000598;7.690231437;1995.039203;-24.05572313;-152.2853267;63.2902439;195022.3347;195042.5004;59.9779012;-37.03366513;1770.779741;7267.909485;92.62631769;-359.0106835;4497.192323;-282.0271223;2.31E-05;-6.41E-06;0.001252938;-4.81E-06;-0.00034224;0.000137868;-0.000432996;0.000473615;3.76E-05;0.00046286;0.031671175;-0.053761134;-0.002484191;0.00165314;0.025408104;-0.037472846;0.009012876;5436.259916;102168.4588;516.8218712;97531.87452;4919.438044;4636.584321;0;0;5436.259916;102168.4588;-6.403944741;6.403946041;-295.1317;1259.381695;-476.5743941;-552.0506059;0.058565495;1949.941992;964.2499945;-1.30E-06;-1028.625;-7.19E-10;1950.000558;6.30E-05;4;6;4;6;30;6;0;-5.55E-17;0;6.78E-21;0;0;-1.11E-16;0;0;0;1.63E-18;0;1.11E-16;5.55E-17;0;6.78E-21;1.63E-18;0;1.11E-16;0;1.73E-18;-6.94E-18;0;0;1.14E-18;7.11E-15;5.95E-15;-3.47E-18;6.73E-15;-1.39E-17;6.94E-17;3.55E-15;-1.78E-15;0;0;7.11E-15;7.11E-15
