time,kinetic_energy,potential_energy,total_energy,L_1,L_2,L_3,P_1,P_2,P_3,energy_increment,external_power,external_work,power_balance,angmom_increment_1,angmom_increment_2,angmom_increment_3,linmom_increment_1,linmom_increment_2,linmom_increment_3,center_of_mass_1,center_of_mass_2,center_of_mass_3,center_of_mass_difference_1,center_of_mass_difference_2,center_of_mass_difference_3
0,0,0,0,0,0,0,0,0,0,0.0182657312659464,0.182657312659464,0.0182657312659464,-2.77555756156289e-17,6.31092317467108e-08,0.399981198496017,0.199989099259312,0.0400000000000022,1.51788304147971e-18,5.14996031930615e-15,3,0,4,1.33226762955019e-15,0,3.5527136788005e-15
0.1,0.00858725771821334,0.00967847354773304,0.0182657312659464,-6.31092317467108e-08,0.399981198496017,0.199989099259312,0.0400000000000022,-1.51788304147971e-18,5.14996031930615e-15,0.157791506113512,1.57791506113511,0.157791506113511,2.77555756156289e-17,1.57637208898082e-06,1.19962007345032,0.599774993930169,0.119999999999987,6.28837260041593e-18,7.5243630770494e-16,3.0002,0,4,6.66666666653271e-05,0,4.44089209850063e-15
0.2,0.0797959216549306,0.0962613157245273,0.176057237379458,-1.63948132072753e-06,1.59960127194634,0.799764093189481,0.159999999999989,-7.80625564189563e-18,4.39752401160121e-15,0.413687622381421,4.13687622381421,0.413687622381421,-5.55111512312578e-17,6.33534988878082e-06,1.99796126265492,0.998754956945167,0.200000000000003,2.60208521396521e-18,8.88004947352528e-15,3.0012,-4.33680868994202e-20,4,0.00013333333333243,4.33680868994202e-20,3.5527136788005e-15
0.3,0.256212347152535,0.333532512608344,0.589744859760879,-7.97483120950834e-06,3.59756253460126,1.79851905013465,0.359999999999991,-1.04083408558608e-17,1.32775734851265e-14,0.763768346040668,7.63768346040668,0.763768346040668,1.11022302462516e-16,1.44319208962122e-05,2.79351211802474,1.39594143841074,0.280000000000014,2.77555756156289e-17,2.00880978518114e-15,3.0038,-1.73472347597681e-19,4,0.000199999999998646,1.73472347597681e-19,4.44089209850063e-15
0.4,0.564298619650211,0.789214586151336,1.35351320580155,-2.24067521057206e-05,6.391074652626,3.19446048854538,0.640000000000005,-3.81639164714898e-17,1.12687636999453e-14,1.18876027294135,11.8876027294136,1.18876027294136,-1.55431223447522e-14,2.43998516395727e-05,3.58452098485565,1.79014513989817,0.359999999999983,4.5102810375397e-17,9.22872889219661e-16,3.0088,-1.73472347597681e-19,4,0.000266666666665305,1.73472347597681e-19,3.5527136788005e-15
0.5,1.02071844408344,1.52155503465945,2.54227347874289,-4.68066037452933e-05,9.97559563748166,4.98460562844356,0.999999999999988,6.93889390390723e-18,1.2191636589165e-14,1.67257144686283,16.7257144686283,1.67257144686283,-6.43929354282591e-15,3.39874083182881e-05,4.36922997720263,2.18012303599125,0.44,2.77555756156289e-17,7.27196081129478e-15,3.017,0,4,0.000333333333331964,0,2.66453525910038e-15
0.6,1.63854159427051,2.57630333133521,4.21484492560572,-8.07940120635814e-05,14.3448256146843,7.1647286644348,1.43999999999999,-2.08166817117217e-17,1.94635974004598e-14,2.20320088546852,22.0320088546852,2.20320088546852,2.22044604925031e-15,4.06915805294672e-05,5.14603868293195,2.56468996982456,0.520000000000012,2.08166817117217e-17,3.96210841913103e-15,3.0292,-6.93889390390723e-19,4,0.000399999999998624,6.93889390390723e-19,2.66453525910038e-15
0.7,2.43333368439357,3.98471212668067,6.41804581107424,-0.000121485592593049,19.4908642976162,9.72941863425937,1.96,0,1.55014889813287e-14,2.77232102031347,27.7232102031347,2.77232102031347,3.99680288865056e-15,4.27122532200286e-05,5.91352922004201,2.94280289318637,0.600000000000008,4.16333634234434e-17,7.43849426498855e-15,3.0462,-2.08166817117217e-18,4,0.000466666666664839,2.08166817117217e-18,2.22044604925031e-15
0.8,3.42650583934613,5.76386099204159,9.19036683138772,-0.000164197845813077,25.4043935176582,12.6722215274457,2.56000000000001,-4.16333634234434e-17,8.0629947163402e-15,3.37357136028581,33.7357136028581,3.37357136028581,-3.10862446895044e-15,3.8828939480276e-05,6.6705818757005,3.31362272383331,0.679999999999993,3.46944695195361e-17,5.59274848654923e-15,3.0688,-2.77555756156289e-18,4,0.000533333333331498,2.77555756156289e-18,3.5527136788005e-15
0.9,4.64043336289568,7.92350482877785,12.5639381916735,-0.000203026785293353,32.0749753933587,15.985844251279,3.24,-7.63278329429795e-17,2.47024622979097e-15,4.00632577926737,40.0632577926737,4.00632577926737,0,2.93613622416727e-05,7.41648097982036,3.67656179604687,0.759999999999994,1.04083408558608e-16,1.08107967022875e-14,3.0978,2.77555756156289e-18,4,0.000599999999998602,2.77555756156289e-18,2.66453525910038e-15
1,6.08291473873675,10.4873492322041,16.5702639709409,-0.000232388147535026,39.4914563731791,19.6624060473259,3.99999999999999,2.77555756156289e-17,1.32810429320784e-14,4.67355541879317,46.7355541879316,4.67355541879316,6.21724893790088e-15,1.56209562871962e-05,8.15084369039911,4.03132324669013,0.839999999999996,2.77555756156289e-16,6.74460487459783e-15,3.134,-5.55111512312578e-18,4,0.000666666666664817,5.55111512312578e-18,2.22044604925031e-15
1.1,7.73855899489836,13.5052603948357,21.2438193897341,-0.000248009103822222,47.6423000635782,23.693729294016,4.83999999999999,-2.4980018054066e-16,6.53643805748061e-15,5.38183764301613,53.8183764301611,5.38183764301611,2.1316282072803e-14,4.82924811973096e-07,8.87373219870484,4.37792388619753,0.920000000000011,7.7715611723761e-16,5.53723733531797e-15,3.1782,8.32667268468867e-18,4,0.000733333333332364,8.32667268468867e-18,2.22044604925031e-15
1.2,9.61546901745237,17.0101880152978,26.6256570327502,-0.000248492028634195,56.5160322622831,28.0716531802136,5.76,5.27355936696949e-16,1.20736753927986e-14,6.13934128104447,61.3934128104446,6.13934128104446,7.105427357601e-15,1.30196147641315e-05,9.58578336041932,4.71671243308798,1.00000000000001,1.38777878078145e-16,7.02216063075412e-15,3.2312,0,4,0.00079999999999858,0,2.22044604925031e-15
1.3,11.8302403021948,20.9347580115998,32.7649983137947,-0.000235472413870064,66.1018156227024,32.7883656133016,6.76000000000001,6.66133814775094e-16,1.90958360235527e-14,6.95486255911215,69.5486255911215,6.95486255911215,-8.88178419700125e-16,2.07569224403292e-05,10.2879480163177,5.04834326776859,1.07999999999998,4.16333634234434e-16,4.5102810375397e-15,3.2938,2.77555756156289e-18,4,0.000866666666664795,2.77555756156289e-18,1.33226762955019e-15
1.4,14.5714793338142,25.1483815390927,39.7198608729068,-0.000214715491429734,76.3897636390201,37.8367088810701,7.84,1.08246744900953e-15,2.36061170610924e-14,7.82564065336662,78.2564065336662,7.82564065336662,-7.105427357601e-15,1.98063633837509e-05,10.9814782077237,5.37374333182407,1.16000000000001,2.91433543964104e-16,1.50573997714787e-14,3.3668,1.66533453693773e-17,4,0.000933333333332342,1.66533453693773e-17,2.66453525910038e-15
1.5,17.9773940156661,29.5681075106074,47.5455015262734,-0.000194909128045984,87.3712418467439,43.2104522128942,9.00000000000001,7.91033905045424e-16,8.54871728961371e-15,8.73914123811821,87.3914123811819,8.73914123811818,3.01980662698043e-14,7.43262807173517e-06,11.667943277576,5.69407396076929,1.24000000000001,4.16333634234434e-16,1.57512891618694e-14,3.451,1.66533453693773e-17,4,0.000999999999999002,1.66533453693773e-17,1.33226762955019e-15
1.6,22.1720644486781,34.1125783157136,56.2846427643916,-0.000187476499974248,99.0391851243198,48.9045261736635,10.24,3.7470027081099e-16,2.43000064514831e-14,9.66124548604238,96.6124548604235,9.66124548604235,2.1316282072803e-14,1.97973292248577e-05,12.3489414944236,6.01070049600737,1.32000000000001,3.88578058618805e-16,1.36002320516582e-14,3.5472,1.66533453693773e-17,4,0.00106666666666522,1.66533453693773e-17,2.22044604925031e-15
1.7,27.2819714629134,38.6639167875206,65.945888250434,-0.000207273829199106,111.388126618743,54.9152266696709,11.56,7.63278329429795e-16,3.79002385031413e-14,10.540770862661,105.407708626609,10.5407708626609,2.48689957516035e-14,7.09888358876865e-05,13.0262573897986,6.32516122948496,1.4,5.48172618408671e-16,6.9111383282916e-15,3.6562,4.44089209850063e-17,4,0.00113333333333321,4.44089209850063e-17,8.88178419700125e-16
1.8,33.412592026778,43.074067086317,76.486659113095,-0.000278262665086793,124.414384008542,61.2403878991558,12.96,1.31145094783847e-15,3.09891001748497e-14,11.3122462890539,113.122462890539,11.3122462890539,3.01980662698043e-14,0.000164652275554011,13.7021674727784,6.63919005538322,1.48000000000001,6.52256026967279e-16,8.34055047249649e-15,3.7788,1.66533453693773e-17,4,0.00119999999999898,1.66533453693773e-17,8.88178419700125e-16
1.9,40.6861635955547,47.1127418065942,87.7989054021489,-0.000442914940640804,138.11655148132,67.8795779545391,14.44,6.59194920871187e-16,3.93296506473462e-14,11.9474301949646,119.474301949645,11.9474301949645,1.77635683940025e-14,0.000334252555726999,14.3792485954211,6.95469715806678,1.56,1.25593979660721e-15,1.77566295000986e-14,3.9158,2.22044604925031e-17,4,0.00126666666666653,2.22044604925031e-17,8.88178419700125e-16
2,49.2260653547095,50.520270242404,99.7463355971135,-0.000777167496367803,152.495800076741,74.8342751126058,16,1.9151347174784e-15,2.15730211472476e-14,12.5171550512292,125.171550512292,12.5171550512292,6.21724893790088e-14,0.00061897394546595,15.0609996765306,7.27399578296207,1.64,9.54097911787244e-16,8.66667848598013e-15,4.068,5.55111512312578e-17,4,0.00133333333333319,5.55111512312578e-17,8.88178419700125e-16
2.1,59.1689114798386,53.094579168504,112.263490648343,-0.00139614144183375,167.556799753272,82.1082708955679,17.6400000000001,2.86923262926564e-15,1.29063426612674e-14,13.2719674649613,132.719674649612,13.2719674649612,4.61852778244065e-14,0.00104997859099121,15.7531402050792,7.600405985733,1.72000000000001,1.05991604382183e-15,6.59194920871187e-15,4.2362,8.88178419700125e-17,4,0.00140000000000118,8.88178419700125e-17,0
2.2,70.6295579655433,54.9059001477606,125.535458113304,-0.00244612003282496,183.309939958351,89.7086768813009,19.3600000000001,3.92914867308747e-15,6.31439345255558e-15,14.6221317852117,146.221317852116,14.6221317852116,4.79616346638068e-14,0.0016364568798618,16.4646968599892,7.9392181659808,1.8,4.64905891561784e-16,2.14134265874577e-14,4.4212,1.33226762955019e-16,4,0.00146666666666739,1.33226762955019e-16,8.88178419700125e-16
