position0,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,position31,position32,position33,position34,position35,position36,position37,position38,position39,position40,position41,position42,position43,position44,position45,position46,position47,velocity0,velocity1,velocity2,velocity3,velocity4,velocity5,velocity6,velocity7,velocity8,velocity9,velocity10,velocity11,velocity12,velocity13,velocity14,velocity15,velocity16,velocity17,velocity18,velocity19,velocity20,velocity21,velocity22,velocity23,velocity24,velocity25,velocity26,velocity27,velocity28,velocity29,velocity30,velocity31,velocity32,velocity33,velocity34,velocity35,velocity36,velocity37,velocity38,velocity39,velocity40,velocity41,velocity42,velocity43,velocity44,velocity45,velocity46,velocity47,multiplier0,multiplier1,multiplier2,multiplier3,multiplier4,multiplier5,multiplier6,multiplier7,multiplier8,multiplier9,multiplier10,multiplier11,multiplier12,multiplier13,multiplier14,multiplier15,multiplier16,multiplier17,multiplier18,multiplier19,multiplier20,multiplier21,multiplier22,multiplier23,multiplier24,multiplier25,multiplier26,multiplier27,multiplier28,multiplier29,multiplier30,multiplier31,multiplier32,multiplier33,multiplier34,multiplier35,time,system_total_energy_current_time,system_total_energy_interval_increment,system_angular_momentum_x_current_time,system_angular_momentum_y_current_time,system_angular_momentum_z_current_time,body_dimension_x_current_time_0,body_dimension_x_current_time_1,body_dimension_x_current_time_2,body_dimension_x_current_time_3,body_dimension_y_current_time_0,body_dimension_y_current_time_1,body_dimension_y_current_time_2,body_dimension_y_current_time_3,body_dimension_z_current_time_0,body_dimension_z_current_time_1,body_dimension_z_current_time_2,body_dimension_z_current_time_3
5,0,0,1,0,0,0,1,0,0,0,1,0,5,0,1,0,0,0,1,0,0,0,1,-5,0,0,1,0,0,0,1,0,0,0,1,0,-5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80082E+11,0,0,0,1,10,1,10,10,1,10,1,1,1,1,1
5.009998027,-1.58E-23,-2.74E-19,1,7.20E-21,-3.23E-20,-7.16E-21,0.999999106,0.001337327,3.23E-20,-0.001337327,0.999999106,0.01,4.999997523,0.002244388,0.999999605,-3.99E-07,0.000888449,3.99E-07,1,1.77E-10,-0.000888449,1.77E-10,0.999999605,-4.989998027,-2.08E-23,1.30E-19,1,1.42E-20,-3.12E-24,-1.42E-20,0.999999903,-0.000439572,-3.12E-24,0.000439572,0.999999903,0.01,-4.999997523,-0.002244388,0.999999605,3.99E-07,-0.000888449,-3.99E-07,1,1.77E-10,0.000888449,1.77E-10,0.999999605,0.199960533,-3.17E-22,-5.49E-18,3.50E-35,1.44E-19,-6.45E-19,-1.43E-19,-1.79E-05,0.026746538,6.46E-19,-0.026746538,-1.79E-05,0.2,-4.95E-05,0.04488776,-7.89E-06,-7.98E-06,0.017768986,7.98E-06,-1.59E-12,3.54E-09,-0.017768986,3.54E-09,-7.89E-06,0.200039467,-4.15E-22,2.59E-18,2.84E-35,2.84E-19,-6.25E-23,-2.84E-19,-1.93E-06,-0.008791433,-6.25E-23,0.008791433,-1.93E-06,0.2,4.95E-05,-0.04488776,-7.89E-06,7.98E-06,-0.017768986,-7.98E-06,-1.59E-12,3.54E-09,0.017768986,3.54E-09,-7.89E-06,2.23E-38,0.00645688,-1.59E-18,-1.43E-18,3.21E-22,-59.55422417,200.0264167,-1.13E-27,-1.24E-20,-0.000132935,0.296149817,8.57E-24,-3.53E-44,0.019644031,1.30E-21,-4.74E-18,-2.04E-37,-0.146523897,200.0264167,-2.01E-27,1.43E-21,0.000132935,-0.296149817,-1.38E-24,-30.00197336,0.003152395,-3.748829971,-10.00197336,-0.001801773,0.739946077,10.00197336,-0.001801773,0.739946077,30.00197336,0.003152395,-3.748829971,0.1,0.880081744,1.31788E+13,5.999997317,4.44E-16,0,1,10,1,10,10,1,10,1,1,1,1,1
5.059930212,5.88E-22,-1.40E-18,1,-8.39E-19,-9.29E-19,8.47E-19,0.999968186,0.007976662,9.23E-19,-0.007976662,0.999968186,0.06,4.999912078,0.013466138,0.999986042,-1.42E-05,0.005283434,1.42E-05,1,4.81E-08,-0.005283434,2.71E-08,0.999986043,-4.939930212,-1.73E-21,7.09E-19,1,-5.66E-19,1.02E-21,5.66E-19,0.999996645,-0.002590207,4.47E-22,0.002590207,0.999996645,0.06,-4.999912078,-0.013466138,0.999986042,1.42E-05,-0.005283434,-1.42E-05,1,4.81E-08,0.005283434,2.71E-08,0.999986043,0.79868318,1.24E-20,-1.70E-17,1.54E-32,-1.71E-17,-1.73E-17,1.72E-17,-0.000600513,0.106040168,1.72E-17,-0.106040168,-0.000600513,0.8,-0.00165935,0.179547245,-0.000263364,-0.000268643,0.070130719,0.000268642,-2.02E-09,9.55E-07,-0.070130719,5.34E-07,-0.000263362,0.80131682,-3.38E-20,9.00E-18,1.92E-33,-1.19E-17,2.05E-20,1.19E-17,-6.32E-05,-0.03422127,9.07E-21,0.03422127,-6.32E-05,0.8,0.00165935,-0.179547245,-0.000263364,0.000268643,-0.070130719,-0.000268642,-2.02E-09,9.55E-07,0.070130719,5.34E-07,-0.000263362,5.13E-34,0.679046242,0.001777925,3.74E-16,3.10E-19,-178.6784013,600.8572267,9.46E-10,0.000782349,-0.004344462,0.872706643,-2.46E-06,4.72E-34,0.632516375,0.000189764,2.03E-16,-3.53E-20,-0.42383191,600.8572267,9.46E-10,0.000782349,0.004344462,-0.872706643,-2.46E-06,-90.06386762,0.102869332,-11.32550804,-30.06386762,-0.058111498,2.140440396,30.06386762,-0.058111498,2.140440396,90.06386762,0.102869332,-11.32550804,0.2,14.05889302,5.68513E+13,23.99979895,1.78E-15,-7.11E-15,1,10,1,10,10,1,10,1,1,1,1,1
5.189325473,1.31E-20,-2.04E-18,1,-2.20E-18,-6.16E-18,2.35E-18,0.999688642,0.024952323,6.10E-18,-0.024952323,0.999688642,0.19,4.999143647,0.042637774,0.999865095,-0.000140087,0.016424768,0.00014008,0.99999999,1.56E-06,-0.016424768,7.41E-07,0.999865104,-4.809325473,-2.26E-21,-5.48E-19,1,-2.82E-18,1.32E-20,2.82E-18,0.999968817,-0.007897214,9.07E-21,0.007897214,0.999968817,0.19,-4.999143647,-0.042637774,0.999865095,0.000140087,-0.016424768,-0.00014008,0.99999999,1.56E-06,0.016424768,7.41E-07,0.999865104,1.789222031,2.37E-19,4.19E-18,1.70E-30,-1.01E-17,-8.73E-17,1.29E-17,-0.00499036,0.233473054,8.64E-17,-0.233473054,-0.00499036,1.8,-0.013709275,0.403885472,-0.002155594,-0.002248505,0.152695959,0.002248372,-1.92E-07,2.93E-05,-0.15269596,1.37E-05,-0.002155402,1.810777969,2.32E-20,-3.41E-17,5.46E-30,-3.31E-17,2.22E-19,3.31E-17,-0.00049335,-0.071918865,1.63E-19,0.071918865,-0.00049335,1.8,0.013709275,-0.403885472,-0.002155594,0.002248505,-0.152695959,-0.002248372,-1.92E-07,2.93E-05,0.15269596,1.37E-05,-0.002155402,8.04E-32,6.506465216,0.019092842,9.50E-16,8.50E-18,-297.8751253,1006.389811,3.12E-07,0.008297985,-0.032999206,1.37636995,-0.000113965,3.23E-32,4.641090042,0.001937016,3.54E-16,-1.51E-18,-0.628324416,1006.389811,3.12E-07,0.008297985,0.032999206,-1.37636995,-0.000113965,-150.4730574,0.776899828,-19.25850718,-50.47305744,-0.428092669,3.175315585,50.47305744,-0.428092669,3.175315585,150.4730574,0.776899828,-19.25850718,0.3,70.91020251,1.51751E+14,53.99763707,0,-2.84E-14,1,10,1,10,10,1,10,1,1,1,1,1
5.436614797,-1.64E-19,-6.43E-18,1,-4.00E-18,-2.69E-17,5.51E-18,0.998401301,0.056522929,2.66E-17,-0.056522929,0.998401301,0.44,4.995640022,0.098692469,0.999322959,-0.000726703,0.036784435,0.000726523,0.999999736,1.83E-05,-0.036784439,8.47E-06,0.999323223,-4.556614797,1.06E-19,4.42E-18,1,-4.22E-18,2.56E-20,4.22E-18,0.999854707,-0.017045942,4.63E-20,0.017045942,0.999854707,0.44,-4.995640022,-0.098692469,0.999322959,0.000726703,-0.036784435,-0.000726523,0.999999736,1.83E-05,0.036784439,8.47E-06,0.999323223,3.156564452,-3.78E-18,-9.22E-17,2.27E-28,-2.60E-17,-3.28E-16,5.04E-17,-0.02075646,0.397939063,3.24E-16,-0.397939063,-0.02075646,3.2,-0.056363231,0.717208416,-0.00868711,-0.009483814,0.25449738,0.009480478,-4.89E-06,0.000304791,-0.254497449,0.000140905,-0.008682217,3.243435548,2.14E-18,1.33E-16,1.87E-29,5.03E-18,2.69E-20,-5.03E-18,-0.001788832,-0.111055697,5.81E-19,0.111055697,-0.001788832,3.2,0.056363231,-0.717208416,-0.00868711,0.009483814,-0.25449738,-0.009480478,-4.89E-06,0.000304791,0.254497449,0.000140905,-0.008682217,4.81E-29,24.14083882,0.075444568,7.17E-15,4.13E-17,-417.2501268,1422.371792,1.30E-05,0.031801447,-0.120620878,1.699073986,-0.001383277,9.10E-29,15.70582161,0.006727389,-6.36E-16,-4.67E-18,-0.652505916,1422.371792,1.30E-05,0.031801447,0.120620878,-1.699073986,-0.001383277,-211.632879,2.803315793,-28.01868161,-71.63287896,-1.462079845,3.313612745,71.63287896,-1.462079845,3.313612745,211.632879,2.803315793,-28.01868161,0.4,222.6612413,3.15921E+14,95.98715428,3.55E-15,-5.68E-14,1,10,1,10,10,1,10,1,1,1,1,1
5.838652429,-6.11E-19,-1.41E-17,1,-1.01E-17,-1.03E-16,2.09E-17,0.994433638,0.105364794,1.01E-16,-0.105364794,0.994433638,0.85,4.985017685,0.190398895,0.997730486,-0.002569899,0.067285015,0.00256773,0.999996696,0.000118714,-0.067285098,5.43E-05,0.997733788,-4.138652429,2.36E-19,-1.67E-18,1,-1.95E-17,4.22E-19,1.95E-17,0.999573436,-0.029205236,1.46E-19,0.029205236,0.999573436,0.85,-4.985017685,-0.190398895,0.997730486,0.002569899,-0.067285015,-0.00256773,0.999996696,0.000118714,0.067285098,5.43E-05,0.997733788,4.884188188,-5.16E-18,-6.20E-17,-2.27E-28,-9.68E-17,-1.20E-15,2.58E-16,-0.058596809,0.578898243,1.17E-15,-0.578898243,-0.058596809,5,-0.156083506,1.116920117,-0.023162362,-0.027380108,0.35551422,0.027343673,-5.59E-05,0.001704219,-0.355515735,0.000776128,-0.023106484,5.115811812,4.62E-19,-2.55E-16,-1.87E-29,-3.10E-16,7.90E-18,3.10E-16,-0.003836593,-0.132130196,1.42E-18,0.132130196,-0.003836593,5,0.156083506,-1.116920117,-0.023162362,0.027380108,-0.35551422,-0.027343673,-5.59E-05,0.001704219,0.355515735,0.000776128,-0.023106484,3.78E-27,56.12278041,0.192259168,3.61E-14,3.16E-16,-536.9419337,1851.022234,0.000179103,0.076239158,-0.298566218,1.694080979,-0.007799499,3.12E-28,33.46636595,0.012998938,5.25E-15,-9.85E-18,-0.351943501,1851.022234,0.000179103,0.076239158,0.298566218,-1.694080979,-0.007799499,-273.6188132,6.797401398,-38.11997673,-93.61881323,-3.174626039,1.851193356,93.61881323,-3.174626039,1.851193356,273.6188132,6.797401398,-38.11997673,0.5,538.5818811,4.47962E+14,149.9547371,3.55E-15,-8.53E-14,1,10,1,10,10,1,10,1,1,1,1,1
6.411853267,-2.36E-18,-1.53E-17,1,1.21E-17,-2.96E-16,3.84E-17,0.985432309,0.170068115,2.94E-16,-0.170068115,0.985432309,1.44,4.961437091,0.321662713,0.994370653,-0.006855109,0.105735573,0.006840415,0.999976478,0.000501629,-0.105736524,0.00022447,0.994394156,-3.531853267,-1.60E-18,-3.39E-18,1,-3.55E-17,9.45E-19,3.55E-17,0.999142527,-0.04140303,5.23E-19,0.04140303,0.999142527,1.44,-4.961437091,-0.321662713,0.994370653,0.006855109,-0.105735573,-0.006840415,0.999976478,0.000501629,0.105736524,0.00022447,0.994394156,6.579828562,-2.98E-17,3.93E-17,4.21E-28,5.42E-16,-2.66E-15,9.08E-17,-0.121429762,0.715168174,2.68E-15,-0.715168174,-0.121429762,6.8,-0.315528382,1.508356245,-0.044034288,-0.058324086,0.413496925,0.058110011,-0.000348463,0.005954074,-0.413512786,0.002626775,-0.04368617,7.020171438,-3.71E-17,2.21E-16,3.35E-29,-1.00E-17,2.56E-18,1.00E-17,-0.004781591,-0.111825676,6.12E-18,0.111825676,-0.004781591,6.8,0.315528382,-1.508356245,-0.044034288,0.058324086,-0.413496925,-0.058110011,-0.000348463,0.005954074,0.413512786,0.002626775,-0.04368617,-3.66E-27,93.71533737,0.362334904,9.72E-14,1.06E-15,-537.6049242,1877.030453,0.001221476,0.129057394,-0.517092679,0.992992235,-0.026200966,-3.12E-28,45.64264423,0.013844052,-5.00E-15,-8.75E-17,0.337647941,1877.030453,0.001221476,0.129057394,0.517092679,-0.992992235,-0.026200966,-275.2179813,11.46130734,-40.69139034,-95.21798128,-4.483180299,-1.547777505,95.21798128,-4.483180299,-1.547777505,275.2179813,11.46130734,-40.69139034,0.6,986.5439383,4.36941E+14,203.8971253,0,-1.14E-13,1,10,1,10,10,1,10,1,1,1,1,1
7.134959109,-1.57E-18,-1.62E-17,1,9.95E-17,-6.39E-16,5.99E-17,0.969609477,0.244657847,6.44E-16,-0.244657847,0.969609477,2.19,4.920916276,0.487035517,0.988991822,-0.014573778,0.147250743,0.014511164,0.999893583,0.001499514,-0.147256927,0.000653773,0.989098059,-2.754959109,-2.43E-18,-9.77E-18,1,-5.34E-17,1.81E-18,5.34E-17,0.998757033,-0.04984364,8.51E-19,0.04984364,0.998757033,2.19,-4.920916276,-0.487035517,0.988991822,0.014573778,-0.147250743,-0.014511164,0.999893583,0.001499514,0.147256927,0.000653773,0.989098059,7.88228829,4.55E-17,-5.70E-17,-4.25E-28,1.20E-15,-4.19E-15,3.39E-16,-0.195026881,0.776626451,4.33E-15,-0.776626451,-0.195026881,8.2,-0.494887906,1.799099831,-0.063542342,-0.0960493,0.416806485,0.09530498,-0.00130944,0.01400362,-0.416895264,0.005959284,-0.062235768,8.51771171,2.05E-17,-3.48E-16,-3.36E-29,-3.48E-16,1.48E-17,3.49E-16,-0.002928282,-0.056986519,4.31E-19,0.056986519,-0.002928282,8.2,0.494887906,-1.799099831,-0.063542342,0.0960493,-0.416806485,-0.09530498,-0.00130944,0.01400362,0.416895264,0.005959284,-0.062235768,7.04E-27,114.1981442,0.494039331,1.89E-13,1.02E-15,-418.7425378,1477.325795,0.00463368,0.149794134,-0.632187423,0.095650712,-0.054652076,5.59E-28,40.57463627,0.00542162,5.64E-15,5.41E-17,0.914451623,1477.325795,0.00463368,0.149794134,0.632187423,-0.095650712,-0.054652076,-214.8770136,13.72622162,-33.50484788,-74.87701362,-4.20973082,-4.430489304,74.87701362,-4.20973082,-4.430489304,214.8770136,13.72622162,-33.50484788,0.7,1423.484728,3.58288E+14,245.8360784,-7.11E-15,-5.68E-14,1,10,1,10,10,1,10,1,1,1,1,1
7.969693174,2.34E-18,-1.49E-17,1,3.10E-16,-1.10E-15,6.23E-17,0.946504084,0.322691833,1.14E-15,-0.322691833,0.946504084,3.06,4.862865102,0.676483602,0.981938635,-0.026068936,0.187395112,0.025880278,0.999659084,0.003453689,-0.18742126,0.001458527,0.982278547,-1.849693174,3.66E-19,-1.21E-17,1,-5.68E-17,1.97E-18,5.68E-17,0.998641957,-0.052098392,9.90E-19,0.052098392,0.998641957,3.06,-4.862865102,-0.676483602,0.981938635,0.026068936,-0.187395112,-0.025880278,0.999659084,0.003453689,0.18742126,0.001458527,0.982278547,8.812393006,3.28E-17,8.24E-17,8.19E-28,3.00E-15,-5.06E-15,-2.91E-16,-0.267080981,0.784053271,5.65E-15,-0.784053271,-0.267080981,9.2,-0.66613558,1.989861874,-0.077521399,-0.133853865,0.386080897,0.132077289,-0.003380552,0.02507989,-0.386391404,0.010135792,-0.074154469,9.587606994,3.53E-17,3.02E-16,5.87E-28,2.80E-16,-1.16E-17,-2.80E-16,0.000626749,0.011891478,2.35E-18,-0.011891478,0.000626749,9.2,0.66613558,-1.989861874,-0.077521399,0.133853865,-0.386080897,-0.132077289,-0.003380552,0.02507989,0.386391404,0.010135792,-0.074154469,-6.82E-27,119.0272867,0.558634288,2.42E-13,1.14E-15,-299.5399841,1062.000169,0.010843064,0.140464633,-0.635838975,-0.466565004,-0.079404171,-5.59E-28,29.26689407,-0.000330213,-1.05E-14,-9.54E-17,1.149495205,1062.000169,0.010843064,0.140464633,0.635838975,0.466565004,-0.079404171,-153.4947642,13.90270204,-24.72426104,-53.49476417,-3.222065305,-5.648056773,53.49476417,-3.222065305,-5.648056773,153.4947642,13.90270204,-24.72426104,0.8,1781.772977,2.33065E+14,275.7864047,3.55E-15,-1.14E-13,1,10,1,10,10,1,10,1,1,1,1,1
8.878746683,3.68E-18,-1.07E-17,1,6.37E-16,-1.63E-15,6.94E-17,0.916562081,0.399892424,1.75E-15,-0.399892424,0.916562081,4.01,4.78854105,0.880095945,0.973749337,-0.041146129,0.223873236,0.040703184,0.999149517,0.006594964,-0.223954192,0.002690512,0.974595958,-0.858746683,-8.28E-19,-1.62E-17,1,-5.74E-17,1.97E-18,5.75E-17,0.998854339,-0.047854047,7.77E-19,0.047854047,0.998854339,4.01,-4.78854105,-0.880095945,0.973749337,0.041146129,-0.223873236,-0.040703184,0.999149517,0.006594964,0.223954192,0.002690512,0.974595958,9.368677172,-5.99E-18,8.40E-19,-5.76E-28,3.54E-15,-5.58E-15,4.33E-16,-0.331759075,0.759958565,6.54E-15,-0.759958565,-0.331759075,9.8,-0.820345449,2.082384968,-0.086264566,-0.167689985,0.343481571,0.164380847,-0.006810779,0.037745599,-0.344267242,0.014503918,-0.079497317,10.23132283,-5.92E-17,-3.84E-16,-5.65E-28,-2.93E-16,1.16E-17,2.93E-16,0.003620895,0.072995422,-6.61E-18,-0.072995422,0.003620895,9.8,0.820345449,-2.082384968,-0.086264566,0.167689985,-0.343481571,-0.164380847,-0.006810779,0.037745599,0.344267242,0.014503918,-0.079497317,1.38E-26,124.6095029,0.575611767,2.55E-13,-1.41E-15,-179.9845958,643.3387365,0.019083695,0.115738802,-0.572026125,-0.666026987,-0.095722845,9.79E-27,24.51068965,0.000527883,9.55E-15,9.11E-17,1.019622721,643.3387365,0.019083695,0.115738802,0.572026125,0.666026987,-0.095722845,-92.18579169,12.72092628,-14.27272694,-32.18579169,-2.700060654,-5.020417491,32.18579169,-2.700060654,-5.020417491,92.18579169,12.72092628,-14.27272694,0.9,2014.837707,8.05392E+13,293.7555506,-1.78E-14,0,1,10,1,10,10,1,10,1,1,1,1,1
