time,total_energy,energy_increment,external_power,tip_velocity_B_1,tip_velocity_B_2,tip_velocity_B_3,tip_position_I_1,tip_position_I_2,tip_position_I_3,mid_constraint_1,mid_constraint_2,mid_constraint_3,mid_constraint_4,mid_constraint_5,mid_constraint_6,mid_constraint_norm,drift_K_1,drift_K_2,drift_K_3,Gamma_1,Gamma_2,Gamma_3
0,0,1.60224029380986e-07,0.000160224029380985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0295784775289e-15
0.001,1.60224029380986e-07,1.07321679881204e-05,0.0107321679881204,-0.000777368619795337,-0.000776486696204872,5.33825011955591e-09,0.999999999998412,3.88433241199296e-07,3.88494539527156e-07,9.99200722162641e-16,9.99200722162641e-16,0,1.98257519097566e-20,-7.62110449666544e-20,7.60861406941589e-20,1.41308321705799e-15,2.58263763364554e-16,2.58027449822662e-16,5.12249671998241e-18,3.10846703283664e-17,3.11166620910404e-17,1.27856534318582e-15
0.002,1.08923920175014e-05,4.60668811765028e-05,0.0460668811765028,-0.00700848604111524,-0.00694021472501981,4.18799336128321e-07,0.999999999824983,4.26210119715154e-06,4.26618716054389e-06,1.11022302462516e-15,9.99200722162641e-16,1.11022302462516e-16,6.26714104704376e-20,-7.62064954732853e-20,7.60873814650777e-20,1.49777275137007e-15,2.58251957779368e-16,2.58066910448542e-16,7.92877278536697e-18,3.10307847866619e-17,3.11701340157793e-17,1.63027093553629e-15
0.003,5.69592731940042e-05,0.000114876668781337,0.114876668781337,-0.0199015955548229,-0.019420520744891,3.00940207900609e-06,0.999999997410356,1.75721843463292e-05,1.75930619688953e-05,1.11022302462516e-15,9.99200722162641e-16,1.11022302462516e-16,-2.42647843669715e-19,-7.61800256936836e-20,7.60741465752768e-20,1.49777276971205e-15,2.58229552170336e-16,2.58087240490301e-16,2.33060599335873e-17,3.11635080763614e-17,3.10585256893674e-17,1.48096219420625e-15
0.004,0.000171835941975341,0.000265148439652831,0.265148439652831,-0.0418343883413182,-0.040081272679458,1.28362176256781e-05,0.999999982949134,4.78621581157273e-05,4.79328033186198e-05,1.11022302462516e-15,9.99200722162641e-16,1.11022302462516e-16,-3.71853963351677e-19,-7.60212070160735e-20,7.6232965252887e-20,1.49777279621721e-15,2.5813795178176e-16,2.5807093158165e-16,2.48979657974229e-17,3.08065657467162e-17,3.1336191675677e-17,1.27343355271253e-15
0.005,0.000436984381628172,0.000444350897722691,0.444350897722691,-0.0736217128930449,-0.0687668756976777,3.95476663724773e-05,0.999999927298396,0.000103895384709853,0.00010410234091182,1.11022302462516e-15,9.99200722162641e-16,1.11022302462516e-16,-1.99270011609288e-19,-7.60212070160735e-20,7.51741740688192e-20,1.49777276325922e-15,2.58107061092474e-16,2.58214446619327e-16,4.9065389333868e-17,3.12966278524599e-17,3.09535387141185e-17,1.96888592662516e-15
0.006,0.000881335279350864,0.000704697555504362,0.704697555504362,-0.117005434067072,-0.106199052961274,0.000101382284626601,0.999999764201424,0.000195225937780761,0.000195740027663001,9.99200722162641e-16,9.99200722162641e-16,0,-7.29102117515345e-19,-8.13151629364128e-20,7.79270311473956e-20,1.41308340539947e-15,2.58442837386723e-16,2.59101403404573e-16,7.45729355357434e-17,3.00751078304042e-17,3.21895036283347e-17,1.29948273372089e-15
0.007,0.00158603283485523,0.00109480635998861,1.09480635998861,-0.172479752520032,-0.151563821899691,0.000223621407931233,0.999999366550268,0.000331959985947347,0.00033309666594727,1.11022302462516e-15,9.99200722162641e-16,1.11022302462516e-16,-1.80653929675866e-18,-8.13151629364128e-20,8.13151629364128e-20,1.49777384008094e-15,2.58403595269955e-16,2.59343243117556e-16,7.05074937077581e-17,2.81688622453732e-17,3.37922040515026e-17,1.78479358134673e-15
0.008,0.00268083919484384,0.0014236518796913,1.4236518796913,-0.241613333799503,-0.204366692158291,0.000445705811581697,0.999998517995178,0.000524433820312148,0.000526744668993878,1.22124532708767e-15,9.99200722162641e-16,1.11022302462516e-16,-5.32032643826757e-19,-9.48676900924816e-20,6.7762635780344e-20,1.58182441516063e-15,2.60901937554694e-16,2.60280998176728e-16,1.06314633805147e-16,2.59383564671765e-17,3.554939257295e-17,1.76045632337412e-15
0.009,0.00410449107453514,0.00195519774704113,1.95519774704113,-0.324073966210733,-0.263721689507061,0.000813629014987785,0.999996881410364,0.000783019223042167,0.000787360007302111,1.22124532708767e-15,8.88178419700125e-16,0,-7.81334954282889e-19,-1.35525271560688e-19,8.13151629364128e-20,1.51006678316492e-15,2.63097041907265e-16,2.63505899261619e-16,1.73264055730368e-16,2.69660498757398e-17,3.491573256304e-17,1.69445459103881e-15
