time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
0;0.2;0.24;0.24;0.24;0.76643568;-3.69E-17;0;0.2;0;0;0.2
0.01;0.202421536;0.242153641;0.244307283;0.244221223;0.76643568;5.29E-17;0.016722408;0.204068794;0.097238887;0.0001;0.200026
0.02;0.204886774;0.24652379;0.248740297;0.248765545;0.76643568;-1.91E-17;0.033444816;0.208260666;0.190270645[Rosenbrock];0.0003;0.20007803
0.03;0.207399597;0.251282244;0.25382419;0.253767403;0.76643568;6.07E-17;0.050167224;0.212599606;0.2814088;0.0007;0.20018214
0.04;0.209965078;0.256548117;0.259272044;0.259303646;0.76643568;-1.52E-17;0.066889632;0.217113235;0.372421878;0.0015;0.20039064
0.05;0.212588737;0.262365918;0.265459791;0.265418997;0.76643568;1.69E-17;0.08361204;0.221830545;0.464798373;0.0031;0.20080871
0.06;0.215276579;0.268784237;0.272108682;0.272139747;0.76643568;5.46E-17;0.100334448;0.22678101;0.55991297;0.0063;0.20164907
0.07;0.218034682;0.275810207;0.279511732;0.279481322;0.76643568;-6.25E-17;0.117056856;0.231994204;0.659151772;0.0127;0.20334618
0.08;0.220869366;0.283468403;0.287425075;0.287452481;0.76643568;4.94E-17;0.133779264;0.237499484;0.764031639;0.0227;0.20604017
0.09;0.223786893;0.29175271;0.296080345;0.296057532;0.76643568;-9.02E-17;0.150501672;0.2433254;0.87634812;0.0327;0.20878415
0.1;0.226793672;0.300677939;0.305275533;0.305297282;0.76643568;1.3E-16;0.16722408;0.249498591;0.998379557;0.0427;0.21157843
0.11;0.22989598;0.310230786;0.315186039;0.315169041;0.76643568;-8.93E-17;0.183946488;0.25604079;1.133232257;0.0527;0.21442448
0.12;0.233100169;0.320418903;0.325651766;0.325665766;0.76643568;4.94E-17;0.200668896;0.262960732;1.285446537;0.0627;0.21732439
0.13;0.236412364;0.331219491;0.336787216;0.336774205;0.76643568;-7.98E-17;0.217391304;0.270227323;1.462104546;0.0727;0.22028061
0.14;0.239838644;0.342627968;0.348468721;0.34847168;0.76643568;3.99E-17;0.234113712;0.277659918;1.67412423;0.0827;0.2232957
0.15;0.243384652;0.35460087;0.360733019;0.360720789;0.76643568;2.95E-17;0.25083612;0.284459955;1.929132715;0.0927;0.22637221
