velocity24_no_GGL;velocity24_GGL;time
0.24;0.24;0
0.249036253;0.248772884;0.02
0.25919998;0.25932067;0.04
0.272302915;0.272169062;0.06
0.28739124;0.287496476;0.08
0.305432986;0.305358074;0.1
0.325691507;0.325745104;0.12
0.348617475;0.348570561;0.14
0.373636532;0.373578236;0.16
0.400201044;0.400083114;0.18
0.426691099;0.426189632;0.2
0.447157668;0.445940415;0.22
0.44156903;0.435497587;0.24
0.305629833;0.281971293;0.26
-0.147120337;-0.14331854;0.28
-0.492706478;-0.495576646;0.3
-0.600873396;-0.597408005;0.32
-0.608536365;-0.616611524;0.34
-0.608215799;-0.607853456;0.36
-0.579790701;-0.585135595;0.38
-0.55218172;-0.553037065;0.4
-0.510141743;-0.512557433;0.42
-0.461209994;-0.461819716;0.44
-0.39761157;-0.393411207;0.46
-0.293240817;-0.28154277;0.48
-0.099821343;-0.057977352;0.5
0.161298433;0.152287799;0.52
0.18665179;0.21259774;0.54
0.231632511;0.229623188;0.56
0.216019961;0.238621469;0.58
0.243951547;0.247205405;0.6
0.235128534;0.257403973;0.62
0.262329329;0.269849877;0.64
0.26191092;0.284756667;0.66
0.290677765;0.302193384;0.68
0.298468211;0.322161291;0.7
0.329038711;0.344590218;0.72
0.345131776;0.36926364;0.74
0.376228781;0.395600425;0.76
0.400569462;0.422011586;0.78
0.425211406;0.443644115;0.8
0.450984865;0.441992704;0.82
0.410668971;0.327892482;0.84
0.255686844;-0.063382271;0.86
-0.282346579;-0.459235187;0.88
-0.49354714;-0.588983905;0.9
-0.612608125;-0.615998785;0.92
-0.589702434;-0.610493281;0.94
-0.597086654;-0.589653649;0.96
-0.56592437;-0.558980445;0.98
-0.529433477;-0.51994429;1
-0.503352184;-0.471218096;1.02
-0.428452613;-0.406751168;1.04
-0.402328837;-0.30573669;1.06
-0.250387629;-0.104005429;1.08
-0.146604067;0.130606207;1.1
0.168370346;0.207421962;1.12
0.129791006;0.22772037;1.14
0.226679463;0.237242097;1.16
0.164143005;0.245687141;1.18
0.228455751;0.255552783;1.2
0.182756433;0.267602054;1.22
0.237940535;0.282090424;1.24
0.207136581;0.29910273;1.26
0.257786324;0.318650126;1.28
0.240276541;0.340677303;1.3
0.287542609;0.365001782;1.32
0.283114539;0.391130191;1.34
0.326463759;0.417726256;1.36
0.336213948;0.440811304;1.38
0.372336707;0.445889728;1.4
